policy,family,task_count,success_rate,mean_grader_score,mean_controller_tokens,mean_downstream_tokens,mean_total_tokens,mean_agent_calls,mean_rounds,mean_routing_calls,mean_wall_clock_seconds,mean_controller_seconds,mean_controller_overhead_fraction,mean_controller_token_fraction,mean_controller_cost_fraction,mean_controller_cost_usd,mean_downstream_cost_usd,mean_cost_usd,mean_communication_edges,mean_unique_communication_edges,mean_communication_density,mean_communication_sparsity,mean_physical_controller_agent_messages,mean_logical_inter_agent_edges,mean_communication_message_bytes,mean_communication_estimated_tokens,mean_activation_sparsity,p50_wall_clock_seconds,p95_wall_clock_seconds,p50_controller_seconds,p95_controller_seconds,p50_cost_usd,p95_cost_usd
frozen_catalog_head,distractor_evidence_then_verify,6,1.0,1.0,770.0,330.0,1100.0,3.5,1.5,2.5,2.6123825488224006,2.5625567708242065,0.9774568271124856,0.7026177418672271,,0.0,0.0,0.0,11.5,11.5,0.1419753086419753,0.8580246913580246,7.0,4.5,12092.166666666666,330.0,0.6875,2.5926528749696445,3.8588754167431034,2.54067329200916,3.8048936037230305,0.0,0.0
frozen_catalog_head,parallel_evidence_then_combine,6,1.0,1.0,958.5,291.5,1250.0,3.5,2.0,3.0,4.213752562510005,4.165407361336595,0.9856915098959158,0.7706616845917832,,0.0,0.0,0.0,10.5,10.5,0.12962962962962962,0.8703703703703706,7.0,3.5,9479.666666666666,291.5,0.78125,4.074673875031294,7.170852260518586,4.025001854548464,7.118843969248701,0.0,0.0
frozen_catalog_head,research_then_verify,6,1.0,1.0,764.1666666666666,186.5,950.6666666666666,2.5,1.5,2.5,2.7936834305000957,2.7481944443328152,0.9750015262027331,0.8105618325432581,,0.0,0.0,0.0,7.0,7.0,0.08641975308641975,0.9135802469135802,5.0,2.0,6774.666666666667,186.5,0.78125,1.9453296040010173,6.8416433437523665,1.8988686870143283,6.791921343974536,0.0,0.0
frozen_catalog_head,retrieve_code_then_verify,6,1.0,1.0,733.6666666666666,170.5,904.1666666666666,2.5,1.5,2.5,2.092635090162124,2.042628618325883,0.9725338174402377,0.8166180329275147,,0.0,0.0,0.0,7.0,7.0,0.08641975308641975,0.9135802469135802,5.0,2.0,5479.333333333333,170.5,0.78125,2.020812416507397,3.4721336039947346,1.9767209164856467,3.3984115112398285,0.0,0.0
frozen_catalog_head,retrieve_then_calculate,6,1.0,1.0,540.0,169.0,709.0,2.5,1.0,2.0,2.3255567848391365,2.252812743157847,0.9624016714473584,0.76717096434747,,0.0,0.0,0.0,7.0,7.0,0.08641975308641975,0.9135802469135802,5.0,2.0,5381.166666666667,169.0,0.6875,1.947316979028983,4.704225406763726,1.8994901459664106,4.617024072969798,0.0,0.0
frozen_catalog_head,tool_failure_then_recover,6,1.0,1.0,937.0,265.5,1202.5,2.5,2.0,3.0,3.6948930693227644,3.642700819482949,0.9846810618488172,0.7841795138508588,,0.0,0.0,0.0,7.0,7.0,0.08641975308641975,0.9135802469135802,5.0,2.0,9036.0,265.5,0.84375,3.1369018749974202,6.580101228741114,3.0929744795139413,6.504152500201599,0.0,0.0
frozen_factorized_head,distractor_evidence_then_verify,6,1.0,1.0,770.0,330.0,1100.0,3.5,1.5,2.5,4.0860405558390385,4.034418228819656,0.983080008783847,0.7026177418672271,,0.0,0.0,0.0,11.5,11.5,0.1419753086419753,0.8580246913580246,7.0,4.5,12091.833333333334,330.0,0.6875,4.005997208470944,7.051042271283222,3.951955396012636,6.990339926473098,0.0,0.0
frozen_factorized_head,parallel_evidence_then_combine,6,0.16666666666666666,0.16666666666666666,958.5,238.5,1197.0,3.1666666666666665,2.0,3.0,4.0937317013352486,4.041055374798209,0.9823849540732462,0.8027942180337275,,0.0,0.0,0.0,8.833333333333334,8.833333333333334,0.10905349794238683,0.8909465020576132,6.333333333333333,2.5,7086.5,238.5,0.8020833333333334,3.6136484795133583,7.783165229018778,3.5599515629874077,7.722268842422636,0.0,0.0
frozen_factorized_head,research_then_verify,6,1.0,1.0,764.1666666666666,186.5,950.6666666666666,2.5,1.5,2.5,4.2367733613355085,4.165382520664328,0.976756937927294,0.8105618325432581,,0.0,0.0,0.0,7.0,7.0,0.08641975308641975,0.9135802469135802,5.0,2.0,6773.333333333333,186.5,0.78125,4.083983312477358,8.14311610450386,3.986247832974186,8.067866332727135,0.0,0.0
frozen_factorized_head,retrieve_code_then_verify,6,1.0,1.0,733.6666666666666,170.5,904.1666666666666,2.5,1.5,2.5,3.933891090176379,3.8587177361769136,0.9752533976001069,0.8166180329275147,,0.0,0.0,0.0,7.0,7.0,0.08641975308641975,0.9135802469135802,5.0,2.0,5478.833333333333,170.5,0.78125,3.823015645495616,6.782398614785052,3.7483082705002744,6.691129615312093,0.0,0.0
