policy,dependency_stages,task_count,success_rate,mean_grader_score,mean_controller_tokens,mean_downstream_tokens,mean_total_tokens,mean_agent_calls,mean_rounds,mean_routing_calls,mean_wall_clock_seconds,mean_controller_seconds,mean_controller_overhead_fraction,mean_controller_token_fraction,mean_controller_cost_fraction,mean_controller_cost_usd,mean_downstream_cost_usd,mean_cost_usd,mean_communication_edges,mean_unique_communication_edges,mean_communication_density,mean_communication_sparsity,mean_physical_controller_agent_messages,mean_logical_inter_agent_edges,mean_communication_message_bytes,mean_communication_estimated_tokens,mean_activation_sparsity,p50_wall_clock_seconds,p95_wall_clock_seconds,p50_controller_seconds,p95_controller_seconds,p50_cost_usd,p95_cost_usd
all_agent_parallel,2,15,0.6,0.6,0.0,2212.2,2212.2,12.0,2.0,2.0,0.04533244439711173,8.558601063365737e-05,0.0019323202211907252,0.0,,0.0,0.0,0.0,52.0,44.0,0.5432098765432098,0.45679012345679026,24.0,28.0,45346.13333333333,2212.2,0.25,0.0433913340093568,0.055049091903492775,8.51659569889307e-05,9.222470107488333e-05,0.0,0.0
all_agent_parallel,3,18,0.0,0.0,0.0,2210.0,2210.0,12.0,2.0,2.0,0.04557825244329353,8.498377994530731e-05,0.0019108132013930755,0.0,,0.0,0.0,0.0,52.0,44.0,0.54320987654321,0.45679012345679015,24.0,28.0,45180.72222222222,2210.0,0.25,0.04256956299650483,0.05622226885461709,8.422951214015484e-05,9.240462095476686e-05,0.0,0.0
all_agent_parallel,4,3,0.0,0.0,0.0,2199.0,2199.0,12.0,2.0,2.0,0.04347087499142314,8.741665321091811e-05,0.0020082323218933236,0.0,,0.0,0.0,0.0,52.0,44.0,0.5432098765432098,0.45679012345679015,24.0,28.0,44199.666666666664,2199.0,0.25,0.04442820802796632,0.04461747077293694,8.783402154222131e-05,9.537055739201605e-05,0.0,0.0
iterative_all_agent_sequential,2,15,1.0,1.0,0.0,4063.2,4063.2,12.0,2.0,2.0,0.048288113864449166,0.00010808614703516166,0.002245831887030593,0.0,,0.0,0.0,0.0,86.0,66.0,0.8148148148148148,0.18518518518518517,24.0,62.0,110261.33333333333,4063.2,0.25,0.04590795800322667,0.060420008766232026,9.366701124235988e-05,0.0001695251092314718,0.0,0.0
iterative_all_agent_sequential,3,18,0.6666666666666666,0.6666666666666666,0.0,4047.1666666666665,4047.1666666666665,12.0,2.0,2.0,0.04665385655567257,9.175240282072789e-05,0.0019988821894658445,0.0,,0.0,0.0,0.0,86.0,66.0,0.8148148148148148,0.18518518518518523,24.0,62.0,106460.16666666667,4047.1666666666665,0.25,0.04417120848665945,0.05342901698313649,8.779199561104178e-05,0.0001125454873545095,0.0,0.0
iterative_all_agent_sequential,4,3,0.0,0.0,0.0,3967.0,3967.0,12.0,2.0,2.0,0.04558148632834976,8.466632183020313e-05,0.0018579210346946933,0.0,,0.0,0.0,0.0,86.0,66.0,0.8148148148148148,0.18518518518518523,24.0,62.0,89558.0,3967.0,0.25,0.04563291696831584,0.04679256699746474,8.362502558156848e-05,8.643746841698884e-05,0.0,0.0
public_state_rules,2,15,1.0,1.0,0.0,140.2,140.2,2.2,1.4,2.4,0.048106252859967454,0.00013087774471690257,0.0028279842791203197,0.0,,0.0,0.0,0.0,5.6,5.6,0.06913580246913581,0.9308641975308644,4.4,1.2,4478.4,140.2,0.7875,0.043966832978185266,0.06605934618855822,0.00011091702617704868,0.00022195369820110497,0.0,0.0
public_state_rules,3,18,1.0,1.0,0.0,283.0,283.0,3.1666666666666665,1.6666666666666667,2.6666666666666665,0.04678748160626532,0.00014713909088944396,0.00325997362843805,0.0,,0.0,0.0,0.0,9.666666666666666,9.666666666666666,0.11934156378600821,0.8806584362139918,6.333333333333333,3.3333333333333335,9672.833333333334,283.0,0.7395833333333334,0.042747500498080626,0.07384262939740438,0.0001521459489595145,0.00018774027412291614,0.0,0.0
public_state_rules,4,3,1.0,1.0,0.0,427.0,427.0,4.0,2.0,3.0,0.042988874309230596,0.00019002765960370502,0.004412466514222178,0.0,,0.0,0.0,0.0,14.0,14.0,0.1728395061728395,0.8271604938271605,8.0,6.0,15913.666666666666,427.0,0.75,0.04371429100865498,0.044889803475234656,0.00019262393470853567,0.00020687463693320752,0.0,0.0
random_top_k,2,15,0.26666666666666666,0.26666666666666666,0.0,1481.8,1481.8,8.0,3.0,4.0,0.044582405666975924,0.00020079970903073748,0.004629045922648032,0.0,,0.0,0.0,0.0,37.0,37.0,0.4567901234567902,0.5432098765432098,16.0,21.0,31536.466666666667,1481.8,0.6666666666666666,0.041592416993808,0.055374729400500616,0.00019683397840708494,0.00022487904061563313,0.0,0.0
