policy,family,task_count,success_rate,mean_grader_score,mean_controller_tokens,mean_downstream_tokens,mean_total_tokens,mean_agent_calls,mean_rounds,mean_routing_calls,mean_wall_clock_seconds,mean_controller_seconds,mean_controller_overhead_fraction,mean_controller_token_fraction,mean_controller_cost_fraction,mean_controller_cost_usd,mean_downstream_cost_usd,mean_cost_usd,mean_communication_edges,mean_unique_communication_edges,mean_communication_density,mean_communication_sparsity,mean_physical_controller_agent_messages,mean_logical_inter_agent_edges,mean_communication_message_bytes,mean_communication_estimated_tokens,mean_activation_sparsity,p50_wall_clock_seconds,p95_wall_clock_seconds,p50_controller_seconds,p95_controller_seconds,p50_cost_usd,p95_cost_usd
all_agent_parallel,distractor_evidence_then_verify,6,0.0,0.0,0.0,2199.0,2199.0,12.0,2.0,2.0,0.04309449332261769,8.554165833629668e-05,0.0019833277284050832,0.0,,0.0,0.0,0.0,52.0,44.0,0.5432098765432097,0.4567901234567902,24.0,28.0,44173.0,2199.0,0.25,0.04317275047651492,0.044585926982108504,8.508301107212901e-05,9.411446808371693e-05,0.0,0.0
all_agent_parallel,parallel_evidence_then_combine,6,0.0,0.0,0.0,2206.0,2206.0,12.0,2.0,2.0,0.04992217366816476,8.432634058408439e-05,0.0018021840758819083,0.0,,0.0,0.0,0.0,52.0,44.0,0.5432098765432097,0.4567901234567902,24.0,28.0,48254.666666666664,2206.0,0.25,0.043080187489977106,0.07558863602753263,8.410451118834317e-05,8.75210389494896e-05,0.0,0.0
all_agent_parallel,research_then_verify,6,0.5,0.5,0.0,2206.0,2206.0,12.0,2.0,2.0,0.04284236118352661,8.358351381806035e-05,0.0019509941652512467,0.0,,0.0,0.0,0.0,52.0,44.0,0.5432098765432097,0.4567901234567902,24.0,28.0,44535.0,2206.0,0.25,0.042979938007192686,0.04388185376592446,8.368800627067685e-05,8.601053559686989e-05,0.0,0.0
all_agent_parallel,retrieve_code_then_verify,6,0.5,0.5,0.0,2155.0,2155.0,12.0,2.0,2.0,0.04913384716686172,8.474983042106032e-05,0.0018122337934459657,0.0,,0.0,0.0,0.0,52.0,44.0,0.5432098765432097,0.4567901234567902,24.0,28.0,42995.666666666664,2155.0,0.25,0.043427875003544614,0.07042208351776935,8.460399112664163e-05,8.76037374837324e-05,0.0,0.0
all_agent_parallel,retrieve_then_calculate,6,0.0,0.0,0.0,2167.0,2167.0,12.0,2.0,2.0,0.042810902649459116,8.418715636556347e-05,0.0019649281236723873,0.0,,0.0,0.0,0.0,52.0,44.0,0.5432098765432097,0.4567901234567902,24.0,28.0,42820.0,2167.0,0.25,0.04288854147307575,0.04442880197893828,8.300002082251012e-05,9.329071326646954e-05,0.0,0.0
all_agent_parallel,tool_failure_then_recover,6,0.5,0.5,0.0,2327.0,2327.0,12.0,2.0,2.0,0.04399752782774158,9.02361935004592e-05,0.0020536884314461103,0.0,,0.0,0.0,0.0,52.0,44.0,0.5432098765432097,0.4567901234567902,24.0,28.0,48229.0,2327.0,0.25,0.042783604469150305,0.04929012499633245,8.97914869710803e-05,9.78550233412534e-05,0.0,0.0
iterative_all_agent_sequential,distractor_evidence_then_verify,6,0.5,0.5,0.0,3967.0,3967.0,12.0,2.0,2.0,0.05107393066282384,8.434015520227452e-05,0.0017192968230006149,0.0,,0.0,0.0,0.0,86.0,66.0,0.8148148148148148,0.18518518518518523,24.0,62.0,89597.0,3967.0,0.25,0.046030916972085834,0.07004885424976237,8.362450171262026e-05,8.753144356887788e-05,0.0,0.0
iterative_all_agent_sequential,parallel_evidence_then_combine,6,0.5,0.5,0.0,3969.0,3969.0,12.0,2.0,2.0,0.045279486007833235,8.970149792730808e-05,0.0019819346506662894,0.0,,0.0,0.0,0.0,86.0,66.0,0.8148148148148148,0.18518518518518523,24.0,62.0,100447.33333333333,3969.0,0.25,0.04482447900227271,0.04821079123939853,9.00209997780621e-05,9.399998816661537e-05,0.0,0.0
iterative_all_agent_sequential,research_then_verify,6,1.0,1.0,0.0,4116.0,4116.0,12.0,2.0,2.0,0.04480565966999469,9.34306881390512e-05,0.0020835491957400514,0.0,,0.0,0.0,0.0,86.0,66.0,0.8148148148148148,0.18518518518518523,24.0,62.0,117923.16666666667,4116.0,0.25,0.04348339600255713,0.04764594776497688,9.041701559908688e-05,0.00010371876123826951,0.0,0.0
iterative_all_agent_sequential,retrieve_code_then_verify,6,1.0,1.0,0.0,3848.0,3848.0,12.0,2.0,2.0,0.04513065983580115,8.985434154359002e-05,0.0019909021563904354,0.0,,0.0,0.0,0.0,86.0,66.0,0.8148148148148148,0.18518518518518523,24.0,62.0,99292.83333333333,3848.0,0.25,0.04406556248432025,0.049648812506347895,8.720852201804519e-05,9.907298954203725e-05,0.0,0.0
