policy,generalization,split,task_count,success_rate,mean_grader_score,mean_controller_tokens,mean_downstream_tokens,mean_total_tokens,mean_agent_calls,mean_rounds,mean_routing_calls,mean_wall_clock_seconds,mean_controller_seconds,mean_controller_overhead_fraction,mean_controller_token_fraction,mean_controller_cost_fraction,mean_controller_cost_usd,mean_downstream_cost_usd,mean_cost_usd,mean_communication_edges,mean_unique_communication_edges,mean_communication_density,mean_communication_sparsity,mean_physical_controller_agent_messages,mean_logical_inter_agent_edges,mean_communication_message_bytes,mean_communication_estimated_tokens,mean_activation_sparsity,p50_wall_clock_seconds,p95_wall_clock_seconds,p50_controller_seconds,p95_controller_seconds,p50_cost_usd,p95_cost_usd
all_agent,seen_family,eval,4,1.0,1.0,0.0,269.75,269.75,8.0,1.0,2.0,0.0096747084899107,6.457300332840532e-05,0.0066643830831075775,0.0,,0.0,0.0,0.0,16.0,16.0,0.19753086419753085,0.8024691358024691,16.0,0.0,2760.25,269.75,0.0,0.009656124981120229,0.009840765132685192,6.162500358186662e-05,7.630452164448797e-05,0.0,0.0
all_agent,unseen_composition,eval,2,0.0,0.0,0.0,319.5,319.5,8.0,1.0,2.0,0.02087850047973916,6.114598363637924e-05,0.0040293677680282095,0.0,,0.0,0.0,0.0,16.0,16.0,0.19753086419753085,0.8024691358024691,16.0,0.0,3187.5,319.5,0.0,0.02087850047973916,0.031061963137472046,6.114598363637924e-05,6.401427090168e-05,0.0,0.0
base_moe,seen_family,eval,4,0.75,0.75,341.25,303.25,644.5,3.5,3.0,3.0,0.8746121772710467,0.8633320939843543,0.9871212941031582,0.532270181317463,,0.0,0.0,0.0,9.5,5.5,0.06790123456790123,0.9320987654320988,7.0,2.5,3550.75,303.25,0.8541666666666667,0.8760782085300889,0.8905613543960499,0.8657275000296067,0.8769438525836449,0.0,0.0
base_moe,unseen_composition,eval,2,0.0,0.0,352.0,426.5,778.5,4.0,3.0,3.0,0.8568053334893193,0.8467419790104032,0.9882465919417748,0.4523637726577747,,0.0,0.0,0.0,10.0,5.0,0.06172839506172839,0.9382716049382716,8.0,2.0,5139.0,426.5,0.8333333333333334,0.8568053334893193,0.8767515461222501,0.8467419790104032,0.8666982973110862,0.0,0.0
conductor_preference,seen_family,eval,4,0.5,0.5,213.25,33.75,247.0,1.0,1.0,2.0,0.5490397394896718,0.5393399060121737,0.9823039005442683,0.8636201893278165,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,341.0,33.75,0.875,0.5460121039941441,0.5720130043366225,0.536318416474387,0.5625653455790598,0.0,0.0
conductor_preference,unseen_composition,eval,2,0.0,0.0,224.0,41.5,265.5,1.0,1.0,2.0,0.5519623540167231,0.542561417008983,0.9829651038911253,0.843819188191882,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,402.5,41.5,0.875,0.5519623540167231,0.5616240223258501,0.542561417008983,0.5521364423184423,0.0,0.0
conductor_sft,seen_family,eval,4,0.5,0.5,213.25,33.75,247.0,1.0,1.0,2.0,0.5430378122546244,0.5332829797407612,0.9820084325556561,0.8636201893278165,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,341.0,33.75,0.875,0.5474115000106394,0.5585359786258778,0.537588187988149,0.5491406688815914,0.0,0.0
conductor_sft,unseen_composition,eval,2,0.0,0.0,224.0,41.5,265.5,1.0,1.0,2.0,0.5692025420139544,0.5597903125162702,0.9834637781113984,0.843819188191882,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,402.5,41.5,0.875,0.5692025420139544,0.5722833167063073,0.5597903125162702,0.5628545690182364,0.0,0.0
random_top_k,seen_family,eval,4,1.0,1.0,0.0,690.5,690.5,6.0,3.0,3.0,0.010247864731354639,8.725024235900491e-05,0.008488152898199252,0.0,,0.0,0.0,0.0,24.0,24.0,0.2962962962962963,0.7037037037037037,12.0,12.0,7654.5,690.5,0.75,0.010186479485128075,0.010590301849879325,7.970898877829313e-05,0.0001079492998542264,0.0,0.0
random_top_k,unseen_composition,eval,2,0.0,0.0,0.0,709.5,709.5,6.0,3.0,3.0,0.009828520502196625,7.233303040266037e-05,0.007359118586108696,0.0,,0.0,0.0,0.0,24.0,24.0,0.2962962962962963,0.7037037037037037,12.0,12.0,7807.5,709.5,0.75,0.009828520502196625,0.009868251430452802,7.233303040266037e-05,7.338333525694907e-05,0.0,0.0
