policy,layer,num_experts,utilized_experts,utilized_fraction,activation_frequency,normalized_routing_entropy,load_coefficient_of_variation,task_distribution_js_divergence,observations,interpretation
base_moe,0,32,32,1.0,"[0.04784240150093809, 0.052063789868667915, 0.003283302063789869, 0.04479362101313321, 0.004221388367729831, 0.02931519699812383, 0.035881801125703564, 0.058395872420262666, 0.006801125703564728, 0.057692307692307696, 0.036819887429643525, 0.00375234521575985, 0.056050656660412757, 0.0626172607879925, 0.035881801125703564, 0.014071294559099437, 0.009615384615384616, 0.0375234521575985, 0.03048780487804878, 0.036585365853658534, 0.0028142589118198874, 0.0323639774859287, 0.042682926829268296, 0.024155722326454035, 0.039165103189493435, 0.017354596622889306, 0.020403377110694183, 0.019465290806754222, 0.00797373358348968, 0.051360225140712944, 0.019230769230769232, 0.05933395872420263]",0.8564761516736583,0.5955924486800832,"{'math': 0.0026487944126402205, 'retrieval': 0.0029128259072514285, 'code': 0.0042260455032561185, 'composed_retrieval_math': 0.0024670861462018495, 'composed_math_string': 0.001416886378588296}",533,Task/load correlation is descriptive; it does not establish semantic expert specialization.
base_moe,1,32,32,1.0,"[0.0023452157598499064, 0.04174484052532833, 0.02181050656660413, 0.05651969981238274, 0.018292682926829267, 0.01477485928705441, 0.03564727954971857, 0.0016416510318949344, 0.125, 0.00046904315196998124, 0.0023452157598499064, 0.00375234521575985, 0.017120075046904316, 0.125, 0.05722326454033771, 0.005159474671669793, 0.0009380863039399625, 0.003283302063789869, 0.003517823639774859, 0.125, 0.037054409005628515, 0.013133208255159476, 0.01524390243902439, 0.02931519699812383, 0.006801125703564728, 0.06121013133208255, 0.00023452157598499062, 0.0014071294559099437, 0.028377110694183864, 0.04338649155722327, 0.058395872420262666, 0.04385553470919325]",0.7696163785182921,1.1448803985767473,"{'math': 0.001987849628716729, 'retrieval': 0.0024111856227253896, 'code': 0.0017295685489143134, 'composed_retrieval_math': 0.0024426146049423875, 'composed_math_string': 0.0013601064121604254}",533,Task/load correlation is descriptive; it does not establish semantic expert specialization.
base_moe,2,32,32,1.0,"[0.03353658536585366, 0.06777673545966229, 0.02298311444652908, 0.004455909943714822, 0.0075046904315197, 0.04104127579737336, 0.0014071294559099437, 0.003517823639774859, 0.016651031894934335, 0.0016416510318949344, 0.00046904315196998124, 0.013367729831144466, 0.0150093808630394, 0.0016416510318949344, 0.008442776735459663, 0.02321763602251407, 0.017354596622889306, 0.021106941838649154, 0.06121013133208255, 0.02274859287054409, 0.04831144465290807, 0.003048780487804878, 0.05933395872420263, 0.010318949343339587, 0.125, 0.06074108818011257, 0.125, 0.014305816135084427, 0.08395872420262664, 0.0009380863039399625, 0.06801125703564728, 0.01594746716697936]",0.8541416337445185,1.0751566072789633,"{'math': 0.0028174024231689175, 'retrieval': 0.0029076455730223418, 'code': 0.0027379069865292593, 'composed_retrieval_math': 0.0017868617939731661, 'composed_math_string': 0.002061450750953607}",533,Task/load correlation is descriptive; it does not establish semantic expert specialization.
base_moe,3,32,32,1.0,"[0.05933395872420263, 0.020872420262664164, 0.0900562851782364, 0.0021106941838649157, 0.06965290806754221, 0.009849906191369606, 0.038930581613508444, 0.03377110694183865, 0.0053939962476547846, 0.0473733583489681, 0.036585365853658534, 0.011960600375234522, 0.012195121951219513, 0.056050656660412757, 0.007035647279549718, 0.009380863039399626, 0.039399624765478425, 0.00046904315196998124, 0.052063789868667915, 0.0007035647279549719, 0.004924953095684803, 0.03212945590994371, 0.028611632270168854, 0.012898686679174483, 0.06214821763602251, 0.0016416510318949344, 0.06636960600375234, 0.040572232645403376, 0.01594746716697936, 0.01149155722326454, 0.07481238273921201, 0.04526266416510319]",0.8571463783249493,0.7972254654703623,"{'math': 0.002064867974148516, 'retrieval': 0.003557613113725992, 'code': 0.0028690272500125763, 'composed_retrieval_math': 0.0030540595819548095, 'composed_math_string': 0.0031019986955864443}",533,Task/load correlation is descriptive; it does not establish semantic expert specialization.
base_moe,4,32,32,1.0,"[0.05698874296435272, 0.04784240150093809, 0.0072701688555347095, 0.025093808630393996, 0.006332082551594747, 0.03048780487804878, 0.02345215759849906, 0.020637898686679174, 0.05886491557223265, 0.006332082551594747, 0.023921200750469045, 0.014540337711069419, 0.07059099437148218, 0.01899624765478424, 0.055112570356472795, 0.02368667917448405, 0.008911819887429643, 0.013367729831144466, 0.06214821763602251, 0.036350844277673544, 0.01571294559099437, 0.03283302063789869, 0.012898686679174483, 0.0525328330206379, 0.040103189493433396, 0.028142589118198873, 0.057692307692307696, 0.017823639774859287, 0.028142589118198873, 0.00375234521575985, 0.07950281425891181, 0.019934333958724203]",0.874990045705946,0.6550556920035472,"{'math': 0.003171452349748464, 'retrieval': 0.005096944763736111, 'code': 0.002068938396716965, 'composed_retrieval_math': 0.0015727932474899468, 'composed_math_string': 0.0020708824834152007}",533,Task/load correlation is descriptive; it does not establish semantic expert specialization.
base_moe,5,32,32,1.0,"[0.0075046904315197, 0.01594746716697936, 0.019934333958724203, 0.01125703564727955, 0.006332082551594747, 0.012195121951219513, 0.008442776735459663, 0.02368667917448405, 0.10107879924953096, 0.02650093808630394, 0.0375234521575985, 0.0053939962476547846, 0.01102251407129456, 0.04385553470919325, 0.01149155722326454, 0.040337711069418386, 0.036350844277673544, 0.01876172607879925, 0.03025328330206379, 0.014071294559099437, 0.06285178236397748, 0.020403377110694183, 0.037288930581613505, 0.025328330206378986, 0.11796435272045028, 0.016651031894934335, 0.04878048780487805, 0.0325984990619137, 0.01102251407129456, 0.03517823639774859, 0.08161350844277673, 0.028377110694183864]",0.8069243156730416,0.843071914300686,"{'math': 0.0015442363652753658, 'retrieval': 0.0028453594807522874, 'code': 0.0031059321553114933, 'composed_retrieval_math': 0.003712836232872744, 'composed_math_string': 0.001371324881186793}",533,Task/load correlation is descriptive; it does not establish semantic expert specialization.
base_moe,6,32,32,1.0,"[0.051594746716697934, 0.004455909943714822, 0.024155722326454035, 0.006332082551594747, 0.06355534709193246, 0.05886491557223265, 0.054409005628517824, 0.01876172607879925, 0.00023452157598499062, 0.025093808630393996, 0.020403377110694183, 0.01594746716697936, 0.054174484052532834, 0.05722326454033771, 0.054878048780487805, 0.005628517823639775, 0.03517823639774859, 0.013602251407129456, 0.012195121951219513, 0.037288930581613505, 0.02204502814258912, 0.10436210131332083, 0.009146341463414634, 0.0349437148217636, 0.020168855534709193, 0.06801125703564728, 0.01149155722326454, 0.008911819887429643, 0.025328330206378986, 0.018058161350844277, 0.03212945590994371, 0.03142589118198874]",0.8388337059301859,0.7440509044654374,"{'math': 0.0029873862931273486, 'retrieval': 0.004996433555178741, 'code': 0.0037250649264398764, 'composed_retrieval_math': 0.0025260451721071248, 'composed_math_string': 0.0017584802016668015}",533,Task/load correlation is descriptive; it does not establish semantic expert specialization.
base_moe,7,32,32,1.0,"[0.012195121951219513, 0.0053939962476547846, 0.0025797373358348967, 0.05042213883677298, 0.07387429643527205, 0.052063789868667915, 0.01618198874296435, 0.024624765478424016, 0.036350844277673544, 0.021341463414634148, 0.02298311444652908, 0.03377110694183865, 0.0014071294559099437, 0.06683864915572232, 0.04549718574108818, 0.0023452157598499064, 0.042682926829268296, 0.0600375234521576, 0.06285178236397748, 0.04620075046904315, 0.04385553470919325, 0.01102251407129456, 0.017120075046904316, 0.027439024390243903, 0.013133208255159476, 0.02650093808630394, 0.014540337711069419, 0.006332082551594747, 0.037054409005628515, 0.04197936210131332, 0.024155722326454035, 0.05722326454033771]",0.8775260991651482,0.6505424113032071,"{'math': 0.0037207491656897867, 'retrieval': 0.006072249645255365, 'code': 0.003098783074484996, 'composed_retrieval_math': 0.003937863745841032, 'composed_math_string': 0.004565095104771934}",533,Task/load correlation is descriptive; it does not establish semantic expert specialization.
base_moe,8,32,32,1.0,"[0.04338649155722327, 0.040572232645403376, 0.005628517823639775, 0.03775797373358349, 0.0053939962476547846, 0.04221388367729831, 0.0323639774859287, 0.03330206378986867, 0.07575046904315197, 0.08560037523452158, 0.017823639774859287, 0.024859287054409006, 0.012195121951219513, 0.003048780487804878, 0.014540337711069419, 0.0848968105065666, 0.01876172607879925, 0.01477485928705441, 0.027439024390243903, 0.06332082551594746, 0.040572232645403376, 0.02954971857410882, 0.01149155722326454, 0.013836772983114446, 0.01102251407129456, 0.008677298311444653, 0.01172607879924953, 0.06425891181988742, 0.02204502814258912, 0.0673076923076923, 0.03189493433395872, 0.00398686679174484]",0.8797608240481907,0.758314980798546,"{'math': 0.0046098335258258965, 'retrieval': 0.005054351812548794, 'code': 0.0031906919121985605, 'composed_retrieval_math': 0.004343508331242309, 'composed_math_string': 0.005284489575761512}",533,Task/load correlation is descriptive; it does not establish semantic expert specialization.
base_moe,9,32,32,1.0,"[0.09849906191369606, 0.01876172607879925, 0.0450281425891182, 0.04784240150093809, 0.005628517823639775, 0.04197936210131332, 0.024155722326454035, 0.02298311444652908, 0.039165103189493435, 0.03025328330206379, 0.0300187617260788, 0.025797373358348967, 0.03517823639774859, 0.03306754221388368, 0.0016416510318949344, 0.003283302063789869, 0.019699812382739212, 0.05980300187617261, 0.0150093808630394, 0.06777673545966229, 0.02298311444652908, 0.04338649155722327, 0.010084427767354597, 0.009380863039399626, 0.024859287054409006, 0.011960600375234522, 0.01899624765478424, 0.0476078799249531, 0.04127579737335835, 0.026031894934333957, 0.04831144465290807, 0.02954971857410882]",0.8938026910914497,0.6386762837307985,"{'math': 0.005669189136193702, 'retrieval': 0.00485111723327237, 'code': 0.0031695474572642417, 'composed_retrieval_math': 0.002997535141609447, 'composed_math_string': 0.004148316385281292}",533,Task/load correlation is descriptive; it does not establish semantic expert specialization.
