baseline,candidate,paired_tasks,baseline_only_tasks,candidate_only_tasks,status,mean_delta_task_success,success_delta_ci95,success_ratio_ci95,mean_delta_grader_score,mean_delta_total_tokens,token_delta_ci95,token_ratio_ci95,mean_delta_agent_calls,agent_calls_delta_ci95,agent_calls_ratio_ci95,mean_delta_cost_usd,cost_delta_ci95,cost_ratio_ci95,mean_delta_wall_clock_seconds,latency_delta_ci95,latency_ratio_ci95,fingerprints,comparable_fingerprints,unknown_cost_exclusions,bootstrap,claim_gate
all_agent,conductor_sft,6,0,0,measured,-0.3333333333333333,"[-0.8333333333333334, 0.0]","[0.0, 1.0]",-0.3333333333333333,-33.166666666666664,"[-50.5, -17.0]","[0.8368336025848142, 0.9356060606060606]",-7.0,"[-7.0, -7.0]","[0.125, 0.125]",0.0,"[0.0, 0.0]","[1.0, 1.0]",0.5383500830212142,"[0.5241281729831826, 0.5491125867864562]","[26.659045720202105, 58.03608690749963]","{'data_sha256': {'baseline': ['1835dd8e8f1caef358e0301561a689c91804f628c9e51d3e6466b1bc5386d63d'], 'candidate': ['1835dd8e8f1caef358e0301561a689c91804f628c9e51d3e6466b1bc5386d63d']}, 'specialist_sha256': {'baseline': ['dd18ae8d19f96a7804df35c4965c99bbf3ce758ddc835c8c55dcc8bfdb642c18'], 'candidate': ['dd18ae8d19f96a7804df35c4965c99bbf3ce758ddc835c8c55dcc8bfdb642c18']}, 'experiment_sha256': {'baseline': ['c5fad8271ca0640dbcc389c914a88a2743305d0c6f1d52cf73d1739ac65d3d1f'], 'candidate': ['c5fad8271ca0640dbcc389c914a88a2743305d0c6f1d52cf73d1739ac65d3d1f']}, 'checkpoint_sha256': {'baseline': ['None'], 'candidate': ['ca070cfb08d0a003ff92a31002ca68424b5304f45561cbe6321639c837400cf9']}, 'config_sha256': {'baseline': ['8dbe79dc00b621c97e1b079949706a0def4d99068fd6c5b5a837689194181a7c'], 'candidate': ['8dbe79dc00b621c97e1b079949706a0def4d99068fd6c5b5a837689194181a7c']}}",True,6,"{'unit': 'unique_task_id', 'samples': 2000, 'seed': 42}","{'status': 'insufficient_evidence', 'reasons': ['Fewer than 30 independent paired task IDs', 'Quality noninferiority is not established by the lower confidence bound', 'Cost reduction is not established by the upper confidence bound', 'Unknown/proxy/heterogeneous token billing invalidates this cost comparison'], 'cost_metric': 'cost_usd', 'minimum_paired_tasks': 30, 'quality_noninferiority_margin': 0.0, 'interpretation': 'Eligibility supports only this predefined measured comparison, not a broader improvement claim.'}"
all_agent,conductor_preference,6,0,0,measured,-0.3333333333333333,"[-0.8333333333333334, 0.0]","[0.0, 1.0]",-0.3333333333333333,-33.166666666666664,"[-50.5, -17.0]","[0.8368336025848142, 0.9356060606060606]",-7.0,"[-7.0, -7.0]","[0.125, 0.125]",0.0,"[0.0, 0.0]","[1.0, 1.0]",0.5366046385121687,"[0.5216798815041935, 0.5520207680400441]","[26.06851262167542, 58.491118431602494]","{'data_sha256': {'baseline': ['1835dd8e8f1caef358e0301561a689c91804f628c9e51d3e6466b1bc5386d63d'], 'candidate': ['1835dd8e8f1caef358e0301561a689c91804f628c9e51d3e6466b1bc5386d63d']}, 'specialist_sha256': {'baseline': ['dd18ae8d19f96a7804df35c4965c99bbf3ce758ddc835c8c55dcc8bfdb642c18'], 'candidate': ['dd18ae8d19f96a7804df35c4965c99bbf3ce758ddc835c8c55dcc8bfdb642c18']}, 'experiment_sha256': {'baseline': ['c5fad8271ca0640dbcc389c914a88a2743305d0c6f1d52cf73d1739ac65d3d1f'], 'candidate': ['c5fad8271ca0640dbcc389c914a88a2743305d0c6f1d52cf73d1739ac65d3d1f']}, 'checkpoint_sha256': {'baseline': ['None'], 'candidate': ['e9e5633e12de5a50f1198ada36323ee4630dae8f067e2e03f707822473e5acd1']}, 'config_sha256': {'baseline': ['8dbe79dc00b621c97e1b079949706a0def4d99068fd6c5b5a837689194181a7c'], 'candidate': ['8dbe79dc00b621c97e1b079949706a0def4d99068fd6c5b5a837689194181a7c']}}",True,6,"{'unit': 'unique_task_id', 'samples': 2000, 'seed': 42}","{'status': 'insufficient_evidence', 'reasons': ['Fewer than 30 independent paired task IDs', 'Quality noninferiority is not established by the lower confidence bound', 'Cost reduction is not established by the upper confidence bound', 'Unknown/proxy/heterogeneous token billing invalidates this cost comparison'], 'cost_metric': 'cost_usd', 'minimum_paired_tasks': 30, 'quality_noninferiority_margin': 0.0, 'interpretation': 'Eligibility supports only this predefined measured comparison, not a broader improvement claim.'}"
rule_based,conductor_sft,6,0,0,measured,-0.6666666666666666,"[-1.0, -0.33333333333333337]","[0.0, 0.6666666666666666]",-0.6666666666666666,199.5,"[181.0, 217.84583333333325]","[3.3205128205128207, 7.967567567567568]",-0.3333333333333333,"[-0.6666666666666667, 0.0]","[0.6, 1.0]",0.0,"[0.0, 0.0]","[1.0, 1.0]",0.5423877706828838,"[0.5263928226626983, 0.555469944520155]","[55.95651483105923, 61.466443412856826]","{'data_sha256': {'baseline': ['1835dd8e8f1caef358e0301561a689c91804f628c9e51d3e6466b1bc5386d63d'], 'candidate': ['1835dd8e8f1caef358e0301561a689c91804f628c9e51d3e6466b1bc5386d63d']}, 'specialist_sha256': {'baseline': ['dd18ae8d19f96a7804df35c4965c99bbf3ce758ddc835c8c55dcc8bfdb642c18'], 'candidate': ['dd18ae8d19f96a7804df35c4965c99bbf3ce758ddc835c8c55dcc8bfdb642c18']}, 'experiment_sha256': {'baseline': ['c5fad8271ca0640dbcc389c914a88a2743305d0c6f1d52cf73d1739ac65d3d1f'], 'candidate': ['c5fad8271ca0640dbcc389c914a88a2743305d0c6f1d52cf73d1739ac65d3d1f']}, 'checkpoint_sha256': {'baseline': ['None'], 'candidate': ['ca070cfb08d0a003ff92a31002ca68424b5304f45561cbe6321639c837400cf9']}, 'config_sha256': {'baseline': ['8dbe79dc00b621c97e1b079949706a0def4d99068fd6c5b5a837689194181a7c'], 'candidate': ['8dbe79dc00b621c97e1b079949706a0def4d99068fd6c5b5a837689194181a7c']}}",True,6,"{'unit': 'unique_task_id', 'samples': 2000, 'seed': 42}","{'status': 'insufficient_evidence', 'reasons': ['Fewer than 30 independent paired task IDs', 'Quality noninferiority is not established by the lower confidence bound', 'Cost reduction is not established by the upper confidence bound', 'Unknown/proxy/heterogeneous token billing invalidates this cost comparison'], 'cost_metric': 'cost_usd', 'minimum_paired_tasks': 30, 'quality_noninferiority_margin': 0.0, 'interpretation': 'Eligibility supports only this predefined measured comparison, not a broader improvement claim.'}"
rule_based,conductor_preference,6,0,0,measured,-0.6666666666666666,"[-1.0, -0.33333333333333337]","[0.0, 0.6666666666666666]",-0.6666666666666666,199.5,"[181.0, 217.84583333333325]","[3.3205128205128207, 7.967567567567568]",-0.3333333333333333,"[-0.6666666666666667, 0.0]","[0.6, 1.0]",0.0,"[0.0, 0.0]","[1.0, 1.0]",0.5406423261738382,"[0.528829208148333, 0.5543061152687491]","[56.32819843914618, 61.05120123250817]","{'data_sha256': {'baseline': ['1835dd8e8f1caef358e0301561a689c91804f628c9e51d3e6466b1bc5386d63d'], 'candidate': ['1835dd8e8f1caef358e0301561a689c91804f628c9e51d3e6466b1bc5386d63d']}, 'specialist_sha256': {'baseline': ['dd18ae8d19f96a7804df35c4965c99bbf3ce758ddc835c8c55dcc8bfdb642c18'], 'candidate': ['dd18ae8d19f96a7804df35c4965c99bbf3ce758ddc835c8c55dcc8bfdb642c18']}, 'experiment_sha256': {'baseline': ['c5fad8271ca0640dbcc389c914a88a2743305d0c6f1d52cf73d1739ac65d3d1f'], 'candidate': ['c5fad8271ca0640dbcc389c914a88a2743305d0c6f1d52cf73d1739ac65d3d1f']}, 'checkpoint_sha256': {'baseline': ['None'], 'candidate': ['e9e5633e12de5a50f1198ada36323ee4630dae8f067e2e03f707822473e5acd1']}, 'config_sha256': {'baseline': ['8dbe79dc00b621c97e1b079949706a0def4d99068fd6c5b5a837689194181a7c'], 'candidate': ['8dbe79dc00b621c97e1b079949706a0def4d99068fd6c5b5a837689194181a7c']}}",True,6,"{'unit': 'unique_task_id', 'samples': 2000, 'seed': 42}","{'status': 'insufficient_evidence', 'reasons': ['Fewer than 30 independent paired task IDs', 'Quality noninferiority is not established by the lower confidence bound', 'Cost reduction is not established by the upper confidence bound', 'Unknown/proxy/heterogeneous token billing invalidates this cost comparison'], 'cost_metric': 'cost_usd', 'minimum_paired_tasks': 30, 'quality_noninferiority_margin': 0.0, 'interpretation': 'Eligibility supports only this predefined measured comparison, not a broader improvement claim.'}"
random_top_k,conductor_sft,6,0,0,measured,-0.3333333333333333,"[-0.8333333333333334, 0.0]","[0.0, 1.0]",-0.3333333333333333,-443.6666666666667,"[-487.5, -397.0]","[0.33955309836443215, 0.3917262512768131]",-5.0,"[-5.0, -5.0]","[0.16666666666666666, 0.16666666666666666]",0.0,"[0.0, 0.0]","[1.0, 1.0]",0.5416513055194324,"[0.5255918473606774, 0.554813702008687]","[51.77533002420384, 56.99367500087555]","{'data_sha256': {'baseline': ['1835dd8e8f1caef358e0301561a689c91804f628c9e51d3e6466b1bc5386d63d'], 'candidate': ['1835dd8e8f1caef358e0301561a689c91804f628c9e51d3e6466b1bc5386d63d']}, 'specialist_sha256': {'baseline': ['dd18ae8d19f96a7804df35c4965c99bbf3ce758ddc835c8c55dcc8bfdb642c18'], 'candidate': ['dd18ae8d19f96a7804df35c4965c99bbf3ce758ddc835c8c55dcc8bfdb642c18']}, 'experiment_sha256': {'baseline': ['c5fad8271ca0640dbcc389c914a88a2743305d0c6f1d52cf73d1739ac65d3d1f'], 'candidate': ['c5fad8271ca0640dbcc389c914a88a2743305d0c6f1d52cf73d1739ac65d3d1f']}, 'checkpoint_sha256': {'baseline': ['None'], 'candidate': ['ca070cfb08d0a003ff92a31002ca68424b5304f45561cbe6321639c837400cf9']}, 'config_sha256': {'baseline': ['8dbe79dc00b621c97e1b079949706a0def4d99068fd6c5b5a837689194181a7c'], 'candidate': ['8dbe79dc00b621c97e1b079949706a0def4d99068fd6c5b5a837689194181a7c']}}",True,6,"{'unit': 'unique_task_id', 'samples': 2000, 'seed': 42}","{'status': 'insufficient_evidence', 'reasons': ['Fewer than 30 independent paired task IDs', 'Quality noninferiority is not established by the lower confidence bound', 'Cost reduction is not established by the upper confidence bound', 'Unknown/proxy/heterogeneous token billing invalidates this cost comparison'], 'cost_metric': 'cost_usd', 'minimum_paired_tasks': 30, 'quality_noninferiority_margin': 0.0, 'interpretation': 'Eligibility supports only this predefined measured comparison, not a broader improvement claim.'}"
random_top_k,conductor_preference,6,0,0,measured,-0.3333333333333333,"[-0.8333333333333334, 0.0]","[0.0, 1.0]",-0.3333333333333333,-443.6666666666667,"[-487.5, -397.0]","[0.33955309836443215, 0.3917262512768131]",-5.0,"[-5.0, -5.0]","[0.16666666666666666, 0.16666666666666666]",0.0,"[0.0, 0.0]","[1.0, 1.0]",0.539905861010387,"[0.5280339375021867, 0.5535610485142872]","[52.19651382109723, 56.27231009806126]","{'data_sha256': {'baseline': ['1835dd8e8f1caef358e0301561a689c91804f628c9e51d3e6466b1bc5386d63d'], 'candidate': ['1835dd8e8f1caef358e0301561a689c91804f628c9e51d3e6466b1bc5386d63d']}, 'specialist_sha256': {'baseline': ['dd18ae8d19f96a7804df35c4965c99bbf3ce758ddc835c8c55dcc8bfdb642c18'], 'candidate': ['dd18ae8d19f96a7804df35c4965c99bbf3ce758ddc835c8c55dcc8bfdb642c18']}, 'experiment_sha256': {'baseline': ['c5fad8271ca0640dbcc389c914a88a2743305d0c6f1d52cf73d1739ac65d3d1f'], 'candidate': ['c5fad8271ca0640dbcc389c914a88a2743305d0c6f1d52cf73d1739ac65d3d1f']}, 'checkpoint_sha256': {'baseline': ['None'], 'candidate': ['e9e5633e12de5a50f1198ada36323ee4630dae8f067e2e03f707822473e5acd1']}, 'config_sha256': {'baseline': ['8dbe79dc00b621c97e1b079949706a0def4d99068fd6c5b5a837689194181a7c'], 'candidate': ['8dbe79dc00b621c97e1b079949706a0def4d99068fd6c5b5a837689194181a7c']}}",True,6,"{'unit': 'unique_task_id', 'samples': 2000, 'seed': 42}","{'status': 'insufficient_evidence', 'reasons': ['Fewer than 30 independent paired task IDs', 'Quality noninferiority is not established by the lower confidence bound', 'Cost reduction is not established by the upper confidence bound', 'Unknown/proxy/heterogeneous token billing invalidates this cost comparison'], 'cost_metric': 'cost_usd', 'minimum_paired_tasks': 30, 'quality_noninferiority_margin': 0.0, 'interpretation': 'Eligibility supports only this predefined measured comparison, not a broader improvement claim.'}"
static_supervisor,conductor_sft,6,0,0,measured,0.3333333333333333,"[0.0, 0.6666666666666666]",,0.3333333333333333,-24.833333333333332,"[-27.00000000000003, -21.666666666666657]","[0.902055622732769, 0.9222423146473779]",1.0,"[1.0, 1.0]",,0.0,"[0.0, 0.0]","[1.0, 1.0]",-2.083984146011062,"[-2.282004847365897, -1.9402390978551316]","[0.19060076965704956, 0.22459304139599395]","{'data_sha256': {'baseline': ['1835dd8e8f1caef358e0301561a689c91804f628c9e51d3e6466b1bc5386d63d'], 'candidate': ['1835dd8e8f1caef358e0301561a689c91804f628c9e51d3e6466b1bc5386d63d']}, 'specialist_sha256': {'baseline': ['dd18ae8d19f96a7804df35c4965c99bbf3ce758ddc835c8c55dcc8bfdb642c18'], 'candidate': ['dd18ae8d19f96a7804df35c4965c99bbf3ce758ddc835c8c55dcc8bfdb642c18']}, 'experiment_sha256': {'baseline': ['c5fad8271ca0640dbcc389c914a88a2743305d0c6f1d52cf73d1739ac65d3d1f'], 'candidate': ['c5fad8271ca0640dbcc389c914a88a2743305d0c6f1d52cf73d1739ac65d3d1f']}, 'checkpoint_sha256': {'baseline': ['None'], 'candidate': ['ca070cfb08d0a003ff92a31002ca68424b5304f45561cbe6321639c837400cf9']}, 'config_sha256': {'baseline': ['8dbe79dc00b621c97e1b079949706a0def4d99068fd6c5b5a837689194181a7c'], 'candidate': ['8dbe79dc00b621c97e1b079949706a0def4d99068fd6c5b5a837689194181a7c']}}",True,6,"{'unit': 'unique_task_id', 'samples': 2000, 'seed': 42}","{'status': 'insufficient_evidence', 'reasons': ['Fewer than 30 independent paired task IDs', 'Cost reduction is not established by the upper confidence bound', 'Unknown/proxy/heterogeneous token billing invalidates this cost comparison'], 'cost_metric': 'cost_usd', 'minimum_paired_tasks': 30, 'quality_noninferiority_margin': 0.0, 'interpretation': 'Eligibility supports only this predefined measured comparison, not a broader improvement claim.'}"
static_supervisor,conductor_preference,6,0,0,measured,0.3333333333333333,"[0.0, 0.6666666666666666]",,0.3333333333333333,-24.833333333333332,"[-27.00000000000003, -21.666666666666657]","[0.902055622732769, 0.9222423146473779]",1.0,"[1.0, 1.0]",,0.0,"[0.0, 0.0]","[1.0, 1.0]",-2.0857295905201076,"[-2.2814875490245567, -1.9519083265137551]","[0.1919090837050155, 0.22196431968132935]","{'data_sha256': {'baseline': ['1835dd8e8f1caef358e0301561a689c91804f628c9e51d3e6466b1bc5386d63d'], 'candidate': ['1835dd8e8f1caef358e0301561a689c91804f628c9e51d3e6466b1bc5386d63d']}, 'specialist_sha256': {'baseline': ['dd18ae8d19f96a7804df35c4965c99bbf3ce758ddc835c8c55dcc8bfdb642c18'], 'candidate': ['dd18ae8d19f96a7804df35c4965c99bbf3ce758ddc835c8c55dcc8bfdb642c18']}, 'experiment_sha256': {'baseline': ['c5fad8271ca0640dbcc389c914a88a2743305d0c6f1d52cf73d1739ac65d3d1f'], 'candidate': ['c5fad8271ca0640dbcc389c914a88a2743305d0c6f1d52cf73d1739ac65d3d1f']}, 'checkpoint_sha256': {'baseline': ['None'], 'candidate': ['e9e5633e12de5a50f1198ada36323ee4630dae8f067e2e03f707822473e5acd1']}, 'config_sha256': {'baseline': ['8dbe79dc00b621c97e1b079949706a0def4d99068fd6c5b5a837689194181a7c'], 'candidate': ['8dbe79dc00b621c97e1b079949706a0def4d99068fd6c5b5a837689194181a7c']}}",True,6,"{'unit': 'unique_task_id', 'samples': 2000, 'seed': 42}","{'status': 'insufficient_evidence', 'reasons': ['Fewer than 30 independent paired task IDs', 'Cost reduction is not established by the upper confidence bound', 'Unknown/proxy/heterogeneous token billing invalidates this cost comparison'], 'cost_metric': 'cost_usd', 'minimum_paired_tasks': 30, 'quality_noninferiority_margin': 0.0, 'interpretation': 'Eligibility supports only this predefined measured comparison, not a broader improvement claim.'}"
base_moe,conductor_sft,6,0,0,measured,-0.16666666666666666,"[-0.5, 0.0]","[0.0, 1.0]",-0.16666666666666666,-436.0,"[-489.99999999999994, -377.66666666666674]","[0.3435679067682654, 0.40080704741096534]",-2.6666666666666665,"[-3.0, -2.1666666666666665]","[0.25, 0.31578947368421056]",0.0,"[0.0, 0.0]","[1.0, 1.0]",-0.3169171738360698,"[-0.3388268560306945, -0.29325834733511635]","[0.6138263552911308, 0.6571718271872264]","{'data_sha256': {'baseline': ['1835dd8e8f1caef358e0301561a689c91804f628c9e51d3e6466b1bc5386d63d'], 'candidate': ['1835dd8e8f1caef358e0301561a689c91804f628c9e51d3e6466b1bc5386d63d']}, 'specialist_sha256': {'baseline': ['dd18ae8d19f96a7804df35c4965c99bbf3ce758ddc835c8c55dcc8bfdb642c18'], 'candidate': ['dd18ae8d19f96a7804df35c4965c99bbf3ce758ddc835c8c55dcc8bfdb642c18']}, 'experiment_sha256': {'baseline': ['c5fad8271ca0640dbcc389c914a88a2743305d0c6f1d52cf73d1739ac65d3d1f'], 'candidate': ['c5fad8271ca0640dbcc389c914a88a2743305d0c6f1d52cf73d1739ac65d3d1f']}, 'checkpoint_sha256': {'baseline': ['None'], 'candidate': ['ca070cfb08d0a003ff92a31002ca68424b5304f45561cbe6321639c837400cf9']}, 'config_sha256': {'baseline': ['8dbe79dc00b621c97e1b079949706a0def4d99068fd6c5b5a837689194181a7c'], 'candidate': ['8dbe79dc00b621c97e1b079949706a0def4d99068fd6c5b5a837689194181a7c']}}",True,6,"{'unit': 'unique_task_id', 'samples': 2000, 'seed': 42}","{'status': 'insufficient_evidence', 'reasons': ['Fewer than 30 independent paired task IDs', 'Quality noninferiority is not established by the lower confidence bound', 'Cost reduction is not established by the upper confidence bound', 'Unknown/proxy/heterogeneous token billing invalidates this cost comparison'], 'cost_metric': 'cost_usd', 'minimum_paired_tasks': 30, 'quality_noninferiority_margin': 0.0, 'interpretation': 'Eligibility supports only this predefined measured comparison, not a broader improvement claim.'}"
base_moe,conductor_preference,6,0,0,measured,-0.16666666666666666,"[-0.5, 0.0]","[0.0, 1.0]",-0.16666666666666666,-436.0,"[-489.99999999999994, -377.66666666666674]","[0.3435679067682654, 0.40080704741096534]",-2.6666666666666665,"[-3.0, -2.1666666666666665]","[0.25, 0.31578947368421056]",0.0,"[0.0, 0.0]","[1.0, 1.0]",-0.31866261834511533,"[-0.33116548668864804, -0.3072586803464219]","[0.6208591734664093, 0.6436372045224187]","{'data_sha256': {'baseline': ['1835dd8e8f1caef358e0301561a689c91804f628c9e51d3e6466b1bc5386d63d'], 'candidate': ['1835dd8e8f1caef358e0301561a689c91804f628c9e51d3e6466b1bc5386d63d']}, 'specialist_sha256': {'baseline': ['dd18ae8d19f96a7804df35c4965c99bbf3ce758ddc835c8c55dcc8bfdb642c18'], 'candidate': ['dd18ae8d19f96a7804df35c4965c99bbf3ce758ddc835c8c55dcc8bfdb642c18']}, 'experiment_sha256': {'baseline': ['c5fad8271ca0640dbcc389c914a88a2743305d0c6f1d52cf73d1739ac65d3d1f'], 'candidate': ['c5fad8271ca0640dbcc389c914a88a2743305d0c6f1d52cf73d1739ac65d3d1f']}, 'checkpoint_sha256': {'baseline': ['None'], 'candidate': ['e9e5633e12de5a50f1198ada36323ee4630dae8f067e2e03f707822473e5acd1']}, 'config_sha256': {'baseline': ['8dbe79dc00b621c97e1b079949706a0def4d99068fd6c5b5a837689194181a7c'], 'candidate': ['8dbe79dc00b621c97e1b079949706a0def4d99068fd6c5b5a837689194181a7c']}}",True,6,"{'unit': 'unique_task_id', 'samples': 2000, 'seed': 42}","{'status': 'insufficient_evidence', 'reasons': ['Fewer than 30 independent paired task IDs', 'Quality noninferiority is not established by the lower confidence bound', 'Cost reduction is not established by the upper confidence bound', 'Unknown/proxy/heterogeneous token billing invalidates this cost comparison'], 'cost_metric': 'cost_usd', 'minimum_paired_tasks': 30, 'quality_noninferiority_margin': 0.0, 'interpretation': 'Eligibility supports only this predefined measured comparison, not a broader improvement claim.'}"
