policy,layer,num_experts,utilized_experts,utilized_fraction,activation_frequency,normalized_routing_entropy,load_coefficient_of_variation,task_distribution_js_divergence,observations,interpretation
base_moe,0,32,32,1.0,"[0.05473658772353794, 0.04531174480425326, 0.0038061865635572742, 0.04337844369260512, 0.0028395360077332044, 0.04204929917834703, 0.0375181246979217, 0.05872402126631223, 0.008035282745287578, 0.049963750604156594, 0.038363943934267765, 0.004531174480425326, 0.04428467858869019, 0.06228854519091349, 0.03401401643305945, 0.02265587240212663, 0.008397776703721604, 0.04084098598356694, 0.027307878202029966, 0.028939101014983083, 0.001570807153214113, 0.0402972450459159, 0.03969308844852586, 0.02815369743837603, 0.03528274528757854, 0.016614306428226196, 0.029543257612373128, 0.01733929434509425, 0.010391493475108747, 0.045915901401643304, 0.013593523441275979, 0.06361768970517158]",0.8362499619850275,0.5755296046172668,"{'math': 0.0043855934673684175, 'retrieval': 0.0013956776365538206, 'code': 0.0027469829657604922, 'composed_retrieval_math': 0.0014610253025885347, 'composed_math_string': 0.0018750971123514713}",2069,Task/load correlation is descriptive; it does not establish semantic expert specialization.
base_moe,1,32,32,1.0,"[0.0021749637506041568, 0.05207829869502175, 0.020662155630739486, 0.05703238279362011, 0.02404543257612373, 0.013895601739971, 0.04090140164330595, 0.001027066215563074, 0.125, 0.0006041565973900435, 0.0038061865635572742, 0.007129047849202513, 0.015889318511358143, 0.125, 0.0486950217496375, 0.006766553890768487, 0.001027066215563074, 0.0043499275012083135, 0.0047124214596423394, 0.125, 0.03733687771870469, 0.015889318511358143, 0.01099565007249879, 0.030328661188980182, 0.007551957467375543, 0.05322619623006283, 0.003141614306428226, 0.0014499758337361043, 0.027549540840985983, 0.04138472692121798, 0.05062832286128564, 0.04072015466408893]",0.7778784162821543,1.1246528459551717,"{'math': 0.0017081470765903143, 'retrieval': 0.0016304610885220397, 'code': 0.001093424822033921, 'composed_retrieval_math': 0.002129121182677546, 'composed_math_string': 0.0014200435737721992}",2069,Task/load correlation is descriptive; it does not establish semantic expert specialization.
base_moe,2,32,32,1.0,"[0.029664088931851136, 0.06633639439342677, 0.014741420976317062, 0.0036853552440792654, 0.009968583856935718, 0.03812228129531175, 0.001570807153214113, 0.0030207829869502174, 0.016433059449009184, 0.0012687288545190913, 0.0011478975350410826, 0.010331077815369743, 0.023260028999516676, 0.0025374577090381827, 0.006887385210246496, 0.02150797486708555, 0.027247462542290962, 0.021749637506041565, 0.0527428709521508, 0.024226679555340743, 0.037880618656355725, 0.0012687288545190913, 0.06875302078298695, 0.0097269212179797, 0.125, 0.0527428709521508, 0.125, 0.01582890285161914, 0.0860318994683422, 0.002295795070082165, 0.07406959884001933, 0.024951667472208797]",0.8523266154396071,1.0718687932349564,"{'math': 0.0028309155169225445, 'retrieval': 0.0014324001833499575, 'code': 0.0012902649762975842, 'composed_retrieval_math': 0.00085706209003007, 'composed_math_string': 0.002588887003236569}",2069,Task/load correlation is descriptive; it does not establish semantic expert specialization.
base_moe,3,32,32,1.0,"[0.05159497341710972, 0.030932817786370227, 0.08838811019816337, 0.005679072015466409, 0.07110923151280812, 0.007249879168680522, 0.033772353794103434, 0.04011599806669889, 0.006887385210246496, 0.03830352827452876, 0.026039149347510875, 0.011720637989366844, 0.012626872885451909, 0.04929917834702755, 0.0071894635089415175, 0.005437409376510391, 0.03558482358627356, 0.0010874818753020784, 0.04881585306911552, 0.0009062348960850652, 0.0041686805219913, 0.030328661188980182, 0.0333494441759304, 0.00918318028032866, 0.06313436442725955, 0.0012687288545190913, 0.07588206863218946, 0.04664088931851136, 0.026220396326727888, 0.008820686321894635, 0.0778153697438376, 0.050447075882068634]",0.863269610871765,0.8028969780842194,"{'math': 0.0021985676305768392, 'retrieval': 0.002839042237845014, 'code': 0.0023773236106595526, 'composed_retrieval_math': 0.0020121495052233544, 'composed_math_string': 0.0027099831638130777}",2069,Task/load correlation is descriptive; it does not establish semantic expert specialization.
base_moe,4,32,32,1.0,"[0.06295311744804254, 0.047184630256162395, 0.00918318028032866, 0.015164330594490091, 0.0076123731271145485, 0.03661188980183663, 0.030932817786370227, 0.020843402609956502, 0.05304494925084582, 0.005799903334944417, 0.03800144997583373, 0.014560173997100048, 0.06965925567907201, 0.01860802319961334, 0.048513774770420494, 0.021930884485258578, 0.007431126147897535, 0.016916384726921217, 0.055038666022232965, 0.034376510391493476, 0.015285161913968101, 0.02972450459159014, 0.012445625906234896, 0.04797003383276945, 0.04041807636539391, 0.022595456742387627, 0.049963750604156594, 0.02567665538907685, 0.039753504108264864, 0.005316578057032383, 0.08095698405026583, 0.015526824552924118]",0.8783364095980043,0.6301573969535403,"{'math': 0.0026085737435494376, 'retrieval': 0.002033532900224089, 'code': 0.0011631114904516932, 'composed_retrieval_math': 0.001093312482664414, 'composed_math_string': 0.001610135190678512}",2069,Task/load correlation is descriptive; it does not establish semantic expert specialization.
base_moe,5,32,32,1.0,"[0.00791445142580957, 0.012928951184146931, 0.01304978250362494, 0.01582890285161914, 0.008276945384243596, 0.014258095698405027, 0.009485258579023683, 0.021870468825519573, 0.10482116964717254, 0.037155630739487674, 0.027428709521507975, 0.018789270178830354, 0.00918318028032866, 0.03661188980183663, 0.018970517158047366, 0.031899468342194294, 0.036309811503141616, 0.014922667955534074, 0.027187046882551958, 0.024226679555340743, 0.05793861768970517, 0.01836636056065732, 0.04053890768487192, 0.024226679555340743, 0.12004591590140164, 0.01746012566457226, 0.0458554857419043, 0.03262445625906235, 0.008458192363460609, 0.028274528757854037, 0.08893185113581441, 0.026159980666988884]",0.8238199288445691,0.8514497516349988,"{'math': 0.0014692776640804215, 'retrieval': 0.0016915668486167075, 'code': 0.002502664990519517, 'composed_retrieval_math': 0.0025043284006620497, 'composed_math_string': 0.0013852381989741419}",2069,Task/load correlation is descriptive; it does not establish semantic expert specialization.
base_moe,6,32,32,1.0,"[0.04809086515224746, 0.005014499758337361, 0.03540357660705655, 0.003081198646689222, 0.05872402126631223, 0.053165780570323826, 0.04567423876268729, 0.023139197680038665, 0.0003624939584340261, 0.02265587240212663, 0.028516191396810053, 0.02247462542290962, 0.07183421942967617, 0.05225954567423876, 0.04615756404059932, 0.008639439342677623, 0.03262445625906235, 0.011841469308844853, 0.014378927017883035, 0.027851619139681004, 0.028516191396810053, 0.10584823586273562, 0.007249879168680522, 0.037155630739487674, 0.020662155630739486, 0.07382793620106332, 0.010814403093281778, 0.009606089898501691, 0.013714354760753987, 0.02011841469308845, 0.033289028516191393, 0.027307878202029966]",0.8533309034162145,0.745034292966862,"{'math': 0.002704689750311657, 'retrieval': 0.003077030523050378, 'code': 0.0028603667923703434, 'composed_retrieval_math': 0.0019838036878723295, 'composed_math_string': 0.002176403029304579}",2069,Task/load correlation is descriptive; it does not establish semantic expert specialization.
base_moe,7,32,32,1.0,"[0.017037216046399226, 0.008458192363460609, 0.005014499758337361, 0.042593040115998064, 0.06579265345577574, 0.061140647655872404, 0.01999758337361044, 0.03600773320444659, 0.03141614306428226, 0.03763895601739971, 0.03262445625906235, 0.033289028516191393, 0.0013895601739971001, 0.0653093281778637, 0.049782503624939585, 0.001570807153214113, 0.040478492025132914, 0.052561623972933784, 0.045795070082165296, 0.04428467858869019, 0.04180763653939101, 0.009545674238762687, 0.017278878685355246, 0.0347390043499275, 0.008941517641372644, 0.023562107298211697, 0.010028999516674722, 0.005739487675205413, 0.0346785886901885, 0.04126389560173997, 0.021930884485258578, 0.0583011116481392]",0.8796354651651251,0.6038932228733688,"{'math': 0.004033488856465149, 'retrieval': 0.003809837878773768, 'code': 0.0016776405064249066, 'composed_retrieval_math': 0.002950688534191597, 'composed_math_string': 0.0031115966989431}",2069,Task/load correlation is descriptive; it does not establish semantic expert specialization.
base_moe,8,32,32,1.0,"[0.041868052199130014, 0.03214113098115031, 0.009001933301111648, 0.03679313678105365, 0.011176897051715805, 0.039813919768003865, 0.023985016916384726, 0.030268245529241178, 0.08113823102948284, 0.08397776703721604, 0.01776220396326728, 0.028274528757854037, 0.011418559690671822, 0.006645722571290478, 0.012808119864668923, 0.06549057515708072, 0.021205896568390527, 0.019937167713871436, 0.02531416143064282, 0.06234896085065249, 0.036974383760270665, 0.031174480425326244, 0.009606089898501691, 0.01304978250362494, 0.009364427259545675, 0.010753987433542774, 0.008397776703721604, 0.07026341227646206, 0.03153697438376027, 0.0737071048815853, 0.04005558240695988, 0.0037457709038182696]",0.8845990840320747,0.7328634875128384,"{'math': 0.004978658669608855, 'retrieval': 0.003594452301365224, 'code': 0.0016259184964783437, 'composed_retrieval_math': 0.002634854348792966, 'composed_math_string': 0.004215692062917555}",2069,Task/load correlation is descriptive; it does not establish semantic expert specialization.
base_moe,9,32,32,1.0,"[0.09877960367327211, 0.024105848235862735, 0.04132431126147897, 0.045795070082165296, 0.00652489125181247, 0.052440792653455776, 0.020360077332044466, 0.03286611889801837, 0.037095215079748674, 0.04132431126147897, 0.03153697438376027, 0.03208071532141131, 0.03280570323827936, 0.026341227646205896, 0.010512324794586757, 0.007310294828419527, 0.018789270178830354, 0.059932334461092314, 0.014681005316578058, 0.060476075398743355, 0.02042049299178347, 0.04543257612373127, 0.0059811503141614306, 0.005799903334944417, 0.022595456742387627, 0.0071894635089415175, 0.033832769453842435, 0.03661188980183663, 0.03153697438376027, 0.016553890768487192, 0.051172063798936684, 0.027791203479942]",0.8971885122560759,0.6273106039866784,"{'math': 0.0022288350797022597, 'retrieval': 0.0024247284296655233, 'code': 0.0017775702284590746, 'composed_retrieval_math': 0.0017539807002951986, 'composed_math_string': 0.0035179172171065413}",2069,Task/load correlation is descriptive; it does not establish semantic expert specialization.
