policy,category,split,generalization,task_count,success_rate,mean_grader_score,mean_controller_tokens,mean_downstream_tokens,mean_total_tokens,mean_agent_calls,mean_rounds,mean_routing_calls,mean_wall_clock_seconds,mean_controller_seconds,mean_controller_overhead_fraction,mean_controller_token_fraction,mean_controller_cost_fraction,mean_controller_cost_usd,mean_downstream_cost_usd,mean_cost_usd,mean_communication_edges,mean_unique_communication_edges,mean_communication_density,mean_communication_sparsity,mean_physical_controller_agent_messages,mean_logical_inter_agent_edges,mean_communication_message_bytes,mean_communication_estimated_tokens,mean_activation_sparsity,p50_wall_clock_seconds,p95_wall_clock_seconds,p50_controller_seconds,p95_controller_seconds,p50_cost_usd,p95_cost_usd
all_agent,code,eval,seen_family,2,1.0,1.0,0.0,268.0,268.0,8.0,1.0,2.0,0.009589312481693923,5.96460304223001e-05,0.0062177732379846504,0.0,,0.0,0.0,0.0,16.0,16.0,0.19753086419753085,0.8024691358024691,16.0,0.0,2717.0,268.0,0.0,0.009589312481693923,0.009656531206564978,5.96460304223001e-05,6.258996436372399e-05,0.0,0.0
all_agent,composed_math_string,eval,unseen_composition,1,0.0,0.0,0.0,298.0,298.0,8.0,1.0,2.0,0.03219345898833126,6.433296948671341e-05,0.0019983242406487398,0.0,,0.0,0.0,0.0,16.0,16.0,0.19753086419753085,0.8024691358024691,16.0,0.0,2964.0,298.0,0.0,0.03219345898833126,0.03219345898833126,6.433296948671341e-05,6.433296948671341e-05,0.0,0.0
all_agent,composed_retrieval_math,eval,unseen_composition,1,0.0,0.0,0.0,341.0,341.0,8.0,1.0,2.0,0.00956354197114706,5.7958997786045074e-05,0.00606041129540768,0.0,,0.0,0.0,0.0,16.0,16.0,0.19753086419753085,0.8024691358024691,16.0,0.0,3411.0,341.0,0.0,0.00956354197114706,0.00956354197114706,5.7958997786045074e-05,5.7958997786045074e-05,0.0,0.0
all_agent,math,eval,seen_family,1,1.0,1.0,0.0,242.0,242.0,8.0,1.0,2.0,0.009871958987787366,7.866701344028115e-05,0.007968733818444788,0.0,,0.0,0.0,0.0,16.0,16.0,0.19753086419753085,0.8024691358024691,16.0,0.0,2524.0,242.0,0.0,0.009871958987787366,0.009871958987787366,7.866701344028115e-05,7.866701344028115e-05,0.0,0.0
all_agent,retrieval,eval,seen_family,1,1.0,1.0,0.0,301.0,301.0,8.0,1.0,2.0,0.009648250008467585,6.033293902873993e-05,0.0062532520380162195,0.0,,0.0,0.0,0.0,16.0,16.0,0.19753086419753085,0.8024691358024691,16.0,0.0,3083.0,301.0,0.0,0.009648250008467585,0.009648250008467585,6.033293902873993e-05,6.033293902873993e-05,0.0,0.0
base_moe,code,eval,seen_family,2,1.0,1.0,336.5,348.0,684.5,4.0,3.0,3.0,0.868247604026692,0.8581775835191365,0.988397229927674,0.49177533261601,,0.0,0.0,0.0,13.0,9.0,0.1111111111111111,0.8888888888888888,8.0,5.0,3934.0,348.0,0.8333333333333334,0.868247604026692,0.8808352101215859,0.8581775835191365,0.8708457959146472,0.0,0.0
base_moe,composed_math_string,eval,unseen_composition,1,0.0,0.0,349.0,409.0,758.0,4.0,3.0,3.0,0.834642875008285,0.8245682920096442,0.9879294686382594,0.4604221635883905,,0.0,0.0,0.0,10.0,5.0,0.06172839506172839,0.9382716049382716,8.0,2.0,5000.0,409.0,0.8333333333333334,0.834642875008285,0.834642875008285,0.8245682920096442,0.8245682920096442,0.0,0.0
base_moe,composed_retrieval_math,eval,unseen_composition,1,0.0,0.0,355.0,444.0,799.0,4.0,3.0,3.0,0.8789677919703536,0.8689156660111621,0.9885637152452902,0.44430538172715894,,0.0,0.0,0.0,10.0,5.0,0.06172839506172839,0.9382716049382716,8.0,2.0,5278.0,444.0,0.8333333333333334,0.8789677919703536,0.8789677919703536,0.8689156660111621,0.8689156660111621,0.0,0.0
base_moe,math,eval,seen_family,1,1.0,1.0,337.0,242.0,579.0,3.0,3.0,3.0,0.8699225840391591,0.8592016249895096,0.9876759619231049,0.5820379965457686,,0.0,0.0,0.0,6.0,2.0,0.024691358024691357,0.9753086419753086,6.0,0.0,3040.0,242.0,0.875,0.8699225840391591,0.8699225840391591,0.8592016249895096,0.8592016249895096,0.0,0.0
base_moe,retrieval,eval,seen_family,1,0.0,0.0,355.0,275.0,630.0,3.0,3.0,3.0,0.8920309169916436,0.8777715839096345,0.9840147546341796,0.5634920634920635,,0.0,0.0,0.0,6.0,2.0,0.024691358024691357,0.9753086419753086,6.0,0.0,3295.0,275.0,0.875,0.8920309169916436,0.8920309169916436,0.8777715839096345,0.8777715839096345,0.0,0.0
conductor_preference,code,eval,seen_family,2,1.0,1.0,208.5,32.0,240.5,1.0,1.0,2.0,0.5460121039941441,0.536318416474387,0.9822463164627249,0.8669386908261005,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,327.5,32.0,0.875,0.5460121039941441,0.5495934847887838,0.536318416474387,0.5398409791232552,0.0,0.0
conductor_preference,composed_math_string,eval,unseen_composition,1,0.0,0.0,221.0,39.0,260.0,1.0,1.0,2.0,0.541227167006582,0.5319224999984726,0.9828082040678563,0.85,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,376.0,39.0,0.875,0.541227167006582,0.541227167006582,0.5319224999984726,0.5319224999984726,0.0,0.0
conductor_preference,composed_retrieval_math,eval,unseen_composition,1,0.0,0.0,227.0,44.0,271.0,1.0,1.0,2.0,0.5626975410268642,0.5532003340194933,0.9831220037143943,0.8376383763837638,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,429.0,44.0,0.875,0.5626975410268642,0.5626975410268642,0.5532003340194933,0.5532003340194933,0.0,0.0
conductor_preference,math,eval,seen_family,1,0.0,0.0,209.0,32.0,241.0,1.0,1.0,2.0,0.5282355829840526,0.518216333060991,0.9810326107407193,0.8672199170124482,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,321.0,32.0,0.875,0.5282355829840526,0.5282355829840526,0.518216333060991,0.518216333060991,0.0,0.0
conductor_preference,retrieval,eval,seen_family,1,0.0,0.0,227.0,39.0,266.0,1.0,1.0,2.0,0.5758991669863462,0.5665064580389298,0.9836903585109039,0.8533834586466166,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,388.0,39.0,0.875,0.5758991669863462,0.5758991669863462,0.5665064580389298,0.5665064580389298,0.0,0.0
conductor_sft,code,eval,seen_family,2,1.0,1.0,208.5,32.0,240.5,1.0,1.0,2.0,0.5474115000106394,0.537588187988149,0.9820545970449482,0.8669386908261005,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,327.5,32.0,0.875,0.5474115000106394,0.5489125875465106,0.537588187988149,0.5391237571806414,0.0,0.0
conductor_sft,composed_math_string,eval,unseen_composition,1,0.0,0.0,221.0,39.0,260.0,1.0,1.0,2.0,0.5726256250054576,0.5631950419628993,0.9835309796999245,0.85,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,376.0,39.0,0.875,0.5726256250054576,0.5726256250054576,0.5631950419628993,0.5631950419628993,0.0,0.0
conductor_sft,composed_retrieval_math,eval,unseen_composition,1,0.0,0.0,227.0,44.0,271.0,1.0,1.0,2.0,0.5657794590224512,0.5563855830696411,0.9833965765228722,0.8376383763837638,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,429.0,44.0,0.875,0.5657794590224512,0.5657794590224512,0.5563855830696411,0.5563855830696411,0.0,0.0
conductor_sft,math,eval,seen_family,1,0.0,0.0,209.0,32.0,241.0,1.0,1.0,2.0,0.5171234579756856,0.5070772930048406,0.9805729853946843,0.8672199170124482,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,321.0,32.0,0.875,0.5171234579756856,0.5171234579756856,0.5070772930048406,0.5070772930048406,0.0,0.0
conductor_sft,retrieval,eval,seen_family,1,0.0,0.0,227.0,39.0,266.0,1.0,1.0,2.0,0.5602047910215333,0.5508782499819063,0.9833515507380434,0.8533834586466166,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,388.0,39.0,0.875,0.5602047910215333,0.5602047910215333,0.5508782499819063,0.5508782499819063,0.0,0.0
