task_id,policy,policy_label,data_sha256,specialist_sha256,experiment_sha256,checkpoint_sha256,config_sha256,cost_comparison_valid,token_billing_status,category,split,generalization,task_success,grader_score,controller_tokens,downstream_tokens,total_tokens,agent_calls,rounds,routing_calls,wall_clock_seconds,controller_seconds,controller_overhead_fraction,controller_token_fraction,controller_cost_usd,downstream_cost_usd,cost_usd,controller_cost_fraction,communication_edges,unique_communication_edges,physical_controller_agent_messages,logical_inter_agent_edges,communication_density,communication_sparsity,communication_message_bytes,communication_estimated_tokens,activation_sparsity
48938588903be5f0,all_agent,all_agent,1835dd8e8f1caef358e0301561a689c91804f628c9e51d3e6466b1bc5386d63d,dd18ae8d19f96a7804df35c4965c99bbf3ce758ddc835c8c55dcc8bfdb642c18,c5fad8271ca0640dbcc389c914a88a2743305d0c6f1d52cf73d1739ac65d3d1f,,8dbe79dc00b621c97e1b079949706a0def4d99068fd6c5b5a837689194181a7c,False,unknown_or_proxy_tokens,math,eval,seen_family,True,1.0,0,242,242,8,1,2,0.009871958987787366,7.866701344028115e-05,0.007968733818444788,0.0,0.0,0.0,0.0,,16,16,16,0,0.19753086419753085,0.8024691358024691,2524,242,0.0
5e269f66a46c0c02,all_agent,all_agent,1835dd8e8f1caef358e0301561a689c91804f628c9e51d3e6466b1bc5386d63d,dd18ae8d19f96a7804df35c4965c99bbf3ce758ddc835c8c55dcc8bfdb642c18,c5fad8271ca0640dbcc389c914a88a2743305d0c6f1d52cf73d1739ac65d3d1f,,8dbe79dc00b621c97e1b079949706a0def4d99068fd6c5b5a837689194181a7c,False,unknown_or_proxy_tokens,retrieval,eval,seen_family,True,1.0,0,301,301,8,1,2,0.009648250008467585,6.033293902873993e-05,0.0062532520380162195,0.0,0.0,0.0,0.0,,16,16,16,0,0.19753086419753085,0.8024691358024691,3083,301,0.0
6f543ee6af6b8920,all_agent,all_agent,1835dd8e8f1caef358e0301561a689c91804f628c9e51d3e6466b1bc5386d63d,dd18ae8d19f96a7804df35c4965c99bbf3ce758ddc835c8c55dcc8bfdb642c18,c5fad8271ca0640dbcc389c914a88a2743305d0c6f1d52cf73d1739ac65d3d1f,,8dbe79dc00b621c97e1b079949706a0def4d99068fd6c5b5a837689194181a7c,False,unknown_or_proxy_tokens,code,eval,seen_family,True,1.0,0,262,262,8,1,2,0.009514625009614974,5.6374992709606886e-05,0.005925088235494023,0.0,0.0,0.0,0.0,,16,16,16,0,0.19753086419753085,0.8024691358024691,2703,262,0.0
54dc4983ab578f2c,all_agent,all_agent,1835dd8e8f1caef358e0301561a689c91804f628c9e51d3e6466b1bc5386d63d,dd18ae8d19f96a7804df35c4965c99bbf3ce758ddc835c8c55dcc8bfdb642c18,c5fad8271ca0640dbcc389c914a88a2743305d0c6f1d52cf73d1739ac65d3d1f,,8dbe79dc00b621c97e1b079949706a0def4d99068fd6c5b5a837689194181a7c,False,unknown_or_proxy_tokens,code,eval,seen_family,True,1.0,0,274,274,8,1,2,0.009663999953772873,6.291706813499331e-05,0.006510458240475279,0.0,0.0,0.0,0.0,,16,16,16,0,0.19753086419753085,0.8024691358024691,2731,274,0.0
36d78af98d1b12b3,all_agent,all_agent,1835dd8e8f1caef358e0301561a689c91804f628c9e51d3e6466b1bc5386d63d,dd18ae8d19f96a7804df35c4965c99bbf3ce758ddc835c8c55dcc8bfdb642c18,c5fad8271ca0640dbcc389c914a88a2743305d0c6f1d52cf73d1739ac65d3d1f,,8dbe79dc00b621c97e1b079949706a0def4d99068fd6c5b5a837689194181a7c,False,unknown_or_proxy_tokens,composed_retrieval_math,eval,unseen_composition,False,0.0,0,341,341,8,1,2,0.00956354197114706,5.7958997786045074e-05,0.00606041129540768,0.0,0.0,0.0,0.0,,16,16,16,0,0.19753086419753085,0.8024691358024691,3411,341,0.0
9d19d9e8716e934a,all_agent,all_agent,1835dd8e8f1caef358e0301561a689c91804f628c9e51d3e6466b1bc5386d63d,dd18ae8d19f96a7804df35c4965c99bbf3ce758ddc835c8c55dcc8bfdb642c18,c5fad8271ca0640dbcc389c914a88a2743305d0c6f1d52cf73d1739ac65d3d1f,,8dbe79dc00b621c97e1b079949706a0def4d99068fd6c5b5a837689194181a7c,False,unknown_or_proxy_tokens,composed_math_string,eval,unseen_composition,False,0.0,0,298,298,8,1,2,0.03219345898833126,6.433296948671341e-05,0.0019983242406487398,0.0,0.0,0.0,0.0,,16,16,16,0,0.19753086419753085,0.8024691358024691,2964,298,0.0
48938588903be5f0,rule_based,rule_based,1835dd8e8f1caef358e0301561a689c91804f628c9e51d3e6466b1bc5386d63d,dd18ae8d19f96a7804df35c4965c99bbf3ce758ddc835c8c55dcc8bfdb642c18,c5fad8271ca0640dbcc389c914a88a2743305d0c6f1d52cf73d1739ac65d3d1f,,8dbe79dc00b621c97e1b079949706a0def4d99068fd6c5b5a837689194181a7c,False,unknown_or_proxy_tokens,math,eval,seen_family,True,1.0,0,27,27,1,1,2,0.009802000015042722,3.833393566310406e-05,0.003910827953914973,0.0,0.0,0.0,0.0,,2,2,2,0,0.024691358024691357,0.9753086419753086,295,27,0.875
5e269f66a46c0c02,rule_based,rule_based,1835dd8e8f1caef358e0301561a689c91804f628c9e51d3e6466b1bc5386d63d,dd18ae8d19f96a7804df35c4965c99bbf3ce758ddc835c8c55dcc8bfdb642c18,c5fad8271ca0640dbcc389c914a88a2743305d0c6f1d52cf73d1739ac65d3d1f,,8dbe79dc00b621c97e1b079949706a0def4d99068fd6c5b5a837689194181a7c,False,unknown_or_proxy_tokens,retrieval,eval,seen_family,True,1.0,0,35,35,1,1,2,0.009159124980214983,2.7625064831227064e-05,0.003016124890849415,0.0,0.0,0.0,0.0,,2,2,2,0,0.024691358024691357,0.9753086419753086,368,35,0.875
6f543ee6af6b8920,rule_based,rule_based,1835dd8e8f1caef358e0301561a689c91804f628c9e51d3e6466b1bc5386d63d,dd18ae8d19f96a7804df35c4965c99bbf3ce758ddc835c8c55dcc8bfdb642c18,c5fad8271ca0640dbcc389c914a88a2743305d0c6f1d52cf73d1739ac65d3d1f,,8dbe79dc00b621c97e1b079949706a0def4d99068fd6c5b5a837689194181a7c,False,unknown_or_proxy_tokens,code,eval,seen_family,True,1.0,0,32,32,1,1,2,0.009373540990054607,2.9875023756176233e-05,0.0031871652119379265,0.0,0.0,0.0,0.0,,2,2,2,0,0.024691358024691357,0.9753086419753086,331,32,0.875
54dc4983ab578f2c,rule_based,rule_based,1835dd8e8f1caef358e0301561a689c91804f628c9e51d3e6466b1bc5386d63d,dd18ae8d19f96a7804df35c4965c99bbf3ce758ddc835c8c55dcc8bfdb642c18,c5fad8271ca0640dbcc389c914a88a2743305d0c6f1d52cf73d1739ac65d3d1f,,8dbe79dc00b621c97e1b079949706a0def4d99068fd6c5b5a837689194181a7c,False,unknown_or_proxy_tokens,code,eval,seen_family,True,1.0,0,32,32,1,1,2,0.009531916992273182,3.3582968171685934e-05,0.0035232124030149608,0.0,0.0,0.0,0.0,,2,2,2,0,0.024691358024691357,0.9753086419753086,324,32,0.875
