policy,k,routing_interval,category,task_count,success_rate,mean_grader_score,mean_controller_tokens,mean_downstream_tokens,mean_total_tokens,mean_agent_calls,mean_rounds,mean_routing_calls,mean_wall_clock_seconds,mean_controller_seconds,mean_controller_overhead_fraction,mean_controller_token_fraction,mean_controller_cost_fraction,mean_controller_cost_usd,mean_downstream_cost_usd,mean_cost_usd,mean_communication_edges,mean_unique_communication_edges,mean_communication_density,mean_communication_sparsity,mean_physical_controller_agent_messages,mean_logical_inter_agent_edges,mean_communication_message_bytes,mean_communication_estimated_tokens,mean_activation_sparsity,p50_wall_clock_seconds,p95_wall_clock_seconds,p50_controller_seconds,p95_controller_seconds,p50_cost_usd,p95_cost_usd
hf-preference,1,1,code,1,1.0,1.0,207.0,32.0,239.0,1.0,1.0,2.0,1.2862691250047646,0.6399206250207499,0.4975013491195938,0.8661087866108786,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,331.0,32.0,0.875,1.2862691250047646,1.2862691250047646,0.6399206250207499,0.6399206250207499,0.0,0.0
hf-preference,1,1,composed_math_string,1,0.0,0.0,221.0,39.0,260.0,1.0,1.0,2.0,0.5599501659744419,0.5504077909281477,0.9829585280509949,0.85,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,376.0,39.0,0.875,0.5599501659744419,0.5599501659744419,0.5504077909281477,0.5504077909281477,0.0,0.0
hf-preference,1,1,composed_retrieval_math,1,0.0,0.0,227.0,44.0,271.0,1.0,1.0,2.0,0.8174505829811096,0.8070669990265742,0.9872976004045796,0.8376383763837638,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,429.0,44.0,0.875,0.8174505829811096,0.8174505829811096,0.8070669990265742,0.8070669990265742,0.0,0.0
hf-preference,1,1,math,1,0.0,0.0,209.0,32.0,241.0,1.0,1.0,2.0,0.6076785000041127,0.5977919159922749,0.9837305680359418,0.8672199170124482,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,321.0,32.0,0.875,0.6076785000041127,0.6076785000041127,0.5977919159922749,0.5977919159922749,0.0,0.0
hf-preference,1,1,retrieval,1,0.0,0.0,227.0,39.0,266.0,1.0,1.0,2.0,0.6124934999970719,0.6023464179597795,0.9834331596378721,0.8533834586466166,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,388.0,39.0,0.875,0.6124934999970719,0.6124934999970719,0.6023464179597795,0.6023464179597795,0.0,0.0
hf-preference,2,1,code,1,1.0,1.0,207.0,32.0,239.0,1.0,1.0,2.0,0.6807597909937613,0.6705761239863932,0.9850407336888947,0.8661087866108786,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,331.0,32.0,0.875,0.6807597909937613,0.6807597909937613,0.6705761239863932,0.6705761239863932,0.0,0.0
hf-preference,2,1,composed_math_string,1,0.0,0.0,221.0,39.0,260.0,1.0,1.0,2.0,0.5311863329843618,0.5216536260559224,0.982053930350802,0.85,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,376.0,39.0,0.875,0.5311863329843618,0.5311863329843618,0.5216536260559224,0.5216536260559224,0.0,0.0
hf-preference,2,1,composed_retrieval_math,1,0.0,0.0,227.0,44.0,271.0,1.0,1.0,2.0,0.5459323750110343,0.5364517499692738,0.9826340670095469,0.8376383763837638,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,429.0,44.0,0.875,0.5459323750110343,0.5459323750110343,0.5364517499692738,0.5364517499692738,0.0,0.0
hf-preference,2,1,math,1,0.0,0.0,209.0,32.0,241.0,1.0,1.0,2.0,0.5322972919675522,0.5228014579624869,0.9821606569329605,0.8672199170124482,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,321.0,32.0,0.875,0.5322972919675522,0.5322972919675522,0.5228014579624869,0.5228014579624869,0.0,0.0
hf-preference,2,1,retrieval,1,0.0,0.0,227.0,39.0,266.0,1.0,1.0,2.0,0.6170528329676017,0.607593042019289,0.9846693987242265,0.8533834586466166,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,388.0,39.0,0.875,0.6170528329676017,0.6170528329676017,0.607593042019289,0.607593042019289,0.0,0.0
