batch_size,context_size,concurrency,k,routing_interval,strategy,configuration_order,repeat,request_index,latency_seconds,queue_seconds,service_seconds,actual_batch_size,semantics,request_id,task_id,task_type,step,state_sha256
1,128,4,1,1,single,0,0,0,0.5320122090051882,8.637498831376433e-05,0.5302966670133173,1,queue-inclusive service request,replay-0-0,48938588903be5f0,math,0,27b260dc9006998d3cc07116750a2301f7c074bb87935263baaacb82ceefc7a8
1,128,4,1,1,single,0,0,1,0.8627669580164365,0.5289653330110013,0.3319250830099918,1,queue-inclusive service request,replay-0-1,48938588903be5f0,math,1,4d29a3653f4820017fca9a079e23341f237a5e27ce6fd820d5bd2aa31f55f1d9
1,128,4,1,1,single,0,0,2,1.2312345830141567,0.860929083020892,0.3681835000170395,1,queue-inclusive service request,replay-1-0,5e269f66a46c0c02,retrieval,0,caebd297d2e6059d30182feb06b45dd81df40c616172d1aa4e6c323f3476ac02
1,128,4,1,1,single,0,0,3,1.5830164169892669,1.229199833003804,0.35228341695619747,1,queue-inclusive service request,replay-1-1,5e269f66a46c0c02,retrieval,1,ddce54a1ab2625971ce0f90f1e8c5cf711905c05a8b7073b1352bfcd34dcec16
1,128,4,1,1,single,0,0,4,1.896446083963383,1.5815109169925563,0.3130144999595359,1,queue-inclusive service request,replay-2-0,6f543ee6af6b8920,code,0,c12358112bcde5b798e8d49256aadcdb79a74920a12af33eceefc360c975ff72
1,128,4,1,1,single,0,0,5,2.2251200839527883,1.894552499987185,0.3290838340180926,1,queue-inclusive service request,replay-2-1,6f543ee6af6b8920,code,1,9af6b5b5e7c296e4e997a0afd43064896d908dd16fd94949b8497c0ec878a383
1,128,4,1,1,single,0,0,6,2.5324501249706373,2.223664791963529,0.3072061249986291,1,queue-inclusive service request,replay-3-0,54dc4983ab578f2c,code,0,d2e970ccba38ef38b5871c9673def3ba341759a05b280645e2e00d52671724e8
1,128,4,1,1,single,0,0,7,2.870290582999587,2.5309011669596657,0.33928012498654425,1,queue-inclusive service request,replay-3-1,54dc4983ab578f2c,code,1,a00e8bb8ae6325d5a92bab733139b8877628892cf432702c5b8e2be93963bb72
1,128,4,1,1,single,0,1,0,0.25165037502301857,9.458302520215511e-05,0.25000691699096933,1,queue-inclusive service request,replay-0-0,48938588903be5f0,math,0,27b260dc9006998d3cc07116750a2301f7c074bb87935263baaacb82ceefc7a8
1,128,4,1,1,single,0,1,1,0.5406833750312217,0.24867350002750754,0.29055320797488093,1,queue-inclusive service request,replay-0-1,48938588903be5f0,math,1,4d29a3653f4820017fca9a079e23341f237a5e27ce6fd820d5bd2aa31f55f1d9
