task_id,policy,policy_label,data_sha256,specialist_sha256,experiment_sha256,checkpoint_sha256,config_sha256,cost_comparison_valid,token_billing_status,category,split,generalization,task_success,grader_score,controller_tokens,downstream_tokens,total_tokens,agent_calls,rounds,routing_calls,wall_clock_seconds,controller_seconds,controller_overhead_fraction,controller_token_fraction,controller_cost_usd,downstream_cost_usd,cost_usd,controller_cost_fraction,communication_edges,unique_communication_edges,physical_controller_agent_messages,logical_inter_agent_edges,communication_density,communication_sparsity,communication_message_bytes,communication_estimated_tokens,activation_sparsity
48938588903be5f0,all_agent,all_agent,1835dd8e8f1caef358e0301561a689c91804f628c9e51d3e6466b1bc5386d63d,dd18ae8d19f96a7804df35c4965c99bbf3ce758ddc835c8c55dcc8bfdb642c18,c5fad8271ca0640dbcc389c914a88a2743305d0c6f1d52cf73d1739ac65d3d1f,,a5c01f2e7fda60c20662ff70895fbe802c1ab0e89df108518fc4fddac257d73c,False,unknown_or_proxy_tokens,math,eval,seen_family,True,1.0,0,2757,2757,12,2,2,0.012497542018536478,8.354097371920943e-05,0.006684592345862941,0.0,0.0,0.0,0.0,,86,66,24,62,0.8148148148148148,0.18518518518518523,30539,2757,0.25
5e269f66a46c0c02,all_agent,all_agent,1835dd8e8f1caef358e0301561a689c91804f628c9e51d3e6466b1bc5386d63d,dd18ae8d19f96a7804df35c4965c99bbf3ce758ddc835c8c55dcc8bfdb642c18,c5fad8271ca0640dbcc389c914a88a2743305d0c6f1d52cf73d1739ac65d3d1f,,a5c01f2e7fda60c20662ff70895fbe802c1ab0e89df108518fc4fddac257d73c,False,unknown_or_proxy_tokens,retrieval,eval,seen_family,True,1.0,0,2851,2851,12,2,2,0.010900290973950177,5.720806075260043e-05,0.005248305837827437,0.0,0.0,0.0,0.0,,86,66,24,62,0.8148148148148148,0.18518518518518523,31476,2851,0.25
6f543ee6af6b8920,all_agent,all_agent,1835dd8e8f1caef358e0301561a689c91804f628c9e51d3e6466b1bc5386d63d,dd18ae8d19f96a7804df35c4965c99bbf3ce758ddc835c8c55dcc8bfdb642c18,c5fad8271ca0640dbcc389c914a88a2743305d0c6f1d52cf73d1739ac65d3d1f,,a5c01f2e7fda60c20662ff70895fbe802c1ab0e89df108518fc4fddac257d73c,False,unknown_or_proxy_tokens,code,eval,seen_family,True,1.0,0,2939,2939,12,2,2,0.01066804100992158,5.29990647919476e-05,0.004968022221011052,0.0,0.0,0.0,0.0,,86,66,24,62,0.8148148148148148,0.18518518518518523,31683,2939,0.25
54dc4983ab578f2c,all_agent,all_agent,1835dd8e8f1caef358e0301561a689c91804f628c9e51d3e6466b1bc5386d63d,dd18ae8d19f96a7804df35c4965c99bbf3ce758ddc835c8c55dcc8bfdb642c18,c5fad8271ca0640dbcc389c914a88a2743305d0c6f1d52cf73d1739ac65d3d1f,,a5c01f2e7fda60c20662ff70895fbe802c1ab0e89df108518fc4fddac257d73c,False,unknown_or_proxy_tokens,code,eval,seen_family,True,1.0,0,2769,2769,12,2,2,0.01072641700739041,5.51670091226697e-05,0.005143097558547286,0.0,0.0,0.0,0.0,,86,66,24,62,0.8148148148148148,0.18518518518518523,30412,2769,0.25
36d78af98d1b12b3,all_agent,all_agent,1835dd8e8f1caef358e0301561a689c91804f628c9e51d3e6466b1bc5386d63d,dd18ae8d19f96a7804df35c4965c99bbf3ce758ddc835c8c55dcc8bfdb642c18,c5fad8271ca0640dbcc389c914a88a2743305d0c6f1d52cf73d1739ac65d3d1f,,a5c01f2e7fda60c20662ff70895fbe802c1ab0e89df108518fc4fddac257d73c,False,unknown_or_proxy_tokens,composed_retrieval_math,eval,unseen_composition,False,0.0,0,2853,2853,12,2,2,0.011446999968029559,5.9959013015031815e-05,0.005237967430985581,0.0,0.0,0.0,0.0,,86,66,24,62,0.8148148148148148,0.18518518518518523,31730,2853,0.25
9d19d9e8716e934a,all_agent,all_agent,1835dd8e8f1caef358e0301561a689c91804f628c9e51d3e6466b1bc5386d63d,dd18ae8d19f96a7804df35c4965c99bbf3ce758ddc835c8c55dcc8bfdb642c18,c5fad8271ca0640dbcc389c914a88a2743305d0c6f1d52cf73d1739ac65d3d1f,,a5c01f2e7fda60c20662ff70895fbe802c1ab0e89df108518fc4fddac257d73c,False,unknown_or_proxy_tokens,composed_math_string,eval,unseen_composition,True,1.0,0,2957,2957,12,2,2,0.03267799998866394,6.295897765085101e-05,0.0019266472144161698,0.0,0.0,0.0,0.0,,86,66,24,62,0.8148148148148148,0.18518518518518523,31869,2957,0.25
48938588903be5f0,rule_based,rule_based,1835dd8e8f1caef358e0301561a689c91804f628c9e51d3e6466b1bc5386d63d,dd18ae8d19f96a7804df35c4965c99bbf3ce758ddc835c8c55dcc8bfdb642c18,c5fad8271ca0640dbcc389c914a88a2743305d0c6f1d52cf73d1739ac65d3d1f,,a5c01f2e7fda60c20662ff70895fbe802c1ab0e89df108518fc4fddac257d73c,False,unknown_or_proxy_tokens,math,eval,seen_family,True,1.0,0,27,27,1,1,2,0.009675459004938602,3.650004509836435e-05,0.003772435507166512,0.0,0.0,0.0,0.0,,2,2,2,0,0.024691358024691357,0.9753086419753086,295,27,0.875
5e269f66a46c0c02,rule_based,rule_based,1835dd8e8f1caef358e0301561a689c91804f628c9e51d3e6466b1bc5386d63d,dd18ae8d19f96a7804df35c4965c99bbf3ce758ddc835c8c55dcc8bfdb642c18,c5fad8271ca0640dbcc389c914a88a2743305d0c6f1d52cf73d1739ac65d3d1f,,a5c01f2e7fda60c20662ff70895fbe802c1ab0e89df108518fc4fddac257d73c,False,unknown_or_proxy_tokens,retrieval,eval,seen_family,True,1.0,0,35,35,1,1,2,0.009684666991233826,3.3709045965224504e-05,0.0034806613377348534,0.0,0.0,0.0,0.0,,2,2,2,0,0.024691358024691357,0.9753086419753086,368,35,0.875
6f543ee6af6b8920,rule_based,rule_based,1835dd8e8f1caef358e0301561a689c91804f628c9e51d3e6466b1bc5386d63d,dd18ae8d19f96a7804df35c4965c99bbf3ce758ddc835c8c55dcc8bfdb642c18,c5fad8271ca0640dbcc389c914a88a2743305d0c6f1d52cf73d1739ac65d3d1f,,a5c01f2e7fda60c20662ff70895fbe802c1ab0e89df108518fc4fddac257d73c,False,unknown_or_proxy_tokens,code,eval,seen_family,True,1.0,0,32,32,1,1,2,0.009952583000995219,3.529200330376625e-05,0.0035460144668210446,0.0,0.0,0.0,0.0,,2,2,2,0,0.024691358024691357,0.9753086419753086,331,32,0.875
54dc4983ab578f2c,rule_based,rule_based,1835dd8e8f1caef358e0301561a689c91804f628c9e51d3e6466b1bc5386d63d,dd18ae8d19f96a7804df35c4965c99bbf3ce758ddc835c8c55dcc8bfdb642c18,c5fad8271ca0640dbcc389c914a88a2743305d0c6f1d52cf73d1739ac65d3d1f,,a5c01f2e7fda60c20662ff70895fbe802c1ab0e89df108518fc4fddac257d73c,False,unknown_or_proxy_tokens,code,eval,seen_family,True,1.0,0,32,32,1,1,2,0.0097639579907991,3.0125025659799576e-05,0.003085329298649931,0.0,0.0,0.0,0.0,,2,2,2,0,0.024691358024691357,0.9753086419753086,324,32,0.875
36d78af98d1b12b3,rule_based,rule_based,1835dd8e8f1caef358e0301561a689c91804f628c9e51d3e6466b1bc5386d63d,dd18ae8d19f96a7804df35c4965c99bbf3ce758ddc835c8c55dcc8bfdb642c18,c5fad8271ca0640dbcc389c914a88a2743305d0c6f1d52cf73d1739ac65d3d1f,,a5c01f2e7fda60c20662ff70895fbe802c1ab0e89df108518fc4fddac257d73c,False,unknown_or_proxy_tokens,composed_retrieval_math,eval,unseen_composition,True,1.0,0,104,104,2,1,2,0.009467166964896023,3.829202614724636e-05,0.004044718582574076,0.0,0.0,0.0,0.0,,5,5,4,1,0.06172839506172839,0.9382716049382716,1134,104,0.75
9d19d9e8716e934a,rule_based,rule_based,1835dd8e8f1caef358e0301561a689c91804f628c9e51d3e6466b1bc5386d63d,dd18ae8d19f96a7804df35c4965c99bbf3ce758ddc835c8c55dcc8bfdb642c18,c5fad8271ca0640dbcc389c914a88a2743305d0c6f1d52cf73d1739ac65d3d1f,,a5c01f2e7fda60c20662ff70895fbe802c1ab0e89df108518fc4fddac257d73c,False,unknown_or_proxy_tokens,composed_math_string,eval,unseen_composition,True,1.0,0,92,92,2,1,2,0.009518374979961663,3.766699228435755e-05,0.003957292328118519,0.0,0.0,0.0,0.0,,5,5,4,1,0.06172839506172839,0.9382716049382716,1000,92,0.75
48938588903be5f0,conductor_sft,conductor_sft,1835dd8e8f1caef358e0301561a689c91804f628c9e51d3e6466b1bc5386d63d,dd18ae8d19f96a7804df35c4965c99bbf3ce758ddc835c8c55dcc8bfdb642c18,c5fad8271ca0640dbcc389c914a88a2743305d0c6f1d52cf73d1739ac65d3d1f,ca070cfb08d0a003ff92a31002ca68424b5304f45561cbe6321639c837400cf9,a5c01f2e7fda60c20662ff70895fbe802c1ab0e89df108518fc4fddac257d73c,False,unknown_or_proxy_tokens,math,eval,seen_family,False,0.0,209,32,241,1,1,2,0.6294731660163961,0.619039083016105,0.9834241019894098,0.8672199170124482,0.0,0.0,0.0,,2,2,2,0,0.024691358024691357,0.9753086419753086,321,32,0.875
5e269f66a46c0c02,conductor_sft,conductor_sft,1835dd8e8f1caef358e0301561a689c91804f628c9e51d3e6466b1bc5386d63d,dd18ae8d19f96a7804df35c4965c99bbf3ce758ddc835c8c55dcc8bfdb642c18,c5fad8271ca0640dbcc389c914a88a2743305d0c6f1d52cf73d1739ac65d3d1f,ca070cfb08d0a003ff92a31002ca68424b5304f45561cbe6321639c837400cf9,a5c01f2e7fda60c20662ff70895fbe802c1ab0e89df108518fc4fddac257d73c,False,unknown_or_proxy_tokens,retrieval,eval,seen_family,False,0.0,227,39,266,1,1,2,0.6854284590226598,0.676284916989971,0.9866601073936637,0.8533834586466166,0.0,0.0,0.0,,2,2,2,0,0.024691358024691357,0.9753086419753086,388,39,0.875
6f543ee6af6b8920,conductor_sft,conductor_sft,1835dd8e8f1caef358e0301561a689c91804f628c9e51d3e6466b1bc5386d63d,dd18ae8d19f96a7804df35c4965c99bbf3ce758ddc835c8c55dcc8bfdb642c18,c5fad8271ca0640dbcc389c914a88a2743305d0c6f1d52cf73d1739ac65d3d1f,ca070cfb08d0a003ff92a31002ca68424b5304f45561cbe6321639c837400cf9,a5c01f2e7fda60c20662ff70895fbe802c1ab0e89df108518fc4fddac257d73c,False,unknown_or_proxy_tokens,code,eval,seen_family,True,1.0,207,32,239,1,1,2,0.7558536250144243,0.746083915932104,0.9870746018025198,0.8661087866108786,0.0,0.0,0.0,,2,2,2,0,0.024691358024691357,0.9753086419753086,331,32,0.875
54dc4983ab578f2c,conductor_sft,conductor_sft,1835dd8e8f1caef358e0301561a689c91804f628c9e51d3e6466b1bc5386d63d,dd18ae8d19f96a7804df35c4965c99bbf3ce758ddc835c8c55dcc8bfdb642c18,c5fad8271ca0640dbcc389c914a88a2743305d0c6f1d52cf73d1739ac65d3d1f,ca070cfb08d0a003ff92a31002ca68424b5304f45561cbe6321639c837400cf9,a5c01f2e7fda60c20662ff70895fbe802c1ab0e89df108518fc4fddac257d73c,False,unknown_or_proxy_tokens,code,eval,seen_family,True,1.0,210,32,242,1,1,2,0.6499966669944115,0.6388269999297336,0.9828158087081792,0.8677685950413223,0.0,0.0,0.0,,2,2,2,0,0.024691358024691357,0.9753086419753086,324,32,0.875
36d78af98d1b12b3,conductor_sft,conductor_sft,1835dd8e8f1caef358e0301561a689c91804f628c9e51d3e6466b1bc5386d63d,dd18ae8d19f96a7804df35c4965c99bbf3ce758ddc835c8c55dcc8bfdb642c18,c5fad8271ca0640dbcc389c914a88a2743305d0c6f1d52cf73d1739ac65d3d1f,ca070cfb08d0a003ff92a31002ca68424b5304f45561cbe6321639c837400cf9,a5c01f2e7fda60c20662ff70895fbe802c1ab0e89df108518fc4fddac257d73c,False,unknown_or_proxy_tokens,composed_retrieval_math,eval,unseen_composition,False,0.0,227,44,271,1,1,2,0.9389904999989085,0.9223551249597222,0.9822837664074283,0.8376383763837638,0.0,0.0,0.0,,2,2,2,0,0.024691358024691357,0.9753086419753086,429,44,0.875
9d19d9e8716e934a,conductor_sft,conductor_sft,1835dd8e8f1caef358e0301561a689c91804f628c9e51d3e6466b1bc5386d63d,dd18ae8d19f96a7804df35c4965c99bbf3ce758ddc835c8c55dcc8bfdb642c18,c5fad8271ca0640dbcc389c914a88a2743305d0c6f1d52cf73d1739ac65d3d1f,ca070cfb08d0a003ff92a31002ca68424b5304f45561cbe6321639c837400cf9,a5c01f2e7fda60c20662ff70895fbe802c1ab0e89df108518fc4fddac257d73c,False,unknown_or_proxy_tokens,composed_math_string,eval,unseen_composition,False,0.0,221,39,260,1,1,2,0.5743414160097018,0.5645801250357181,0.9830043756172047,0.85,0.0,0.0,0.0,,2,2,2,0,0.024691358024691357,0.9753086419753086,376,39,0.875
48938588903be5f0,conductor_preference,conductor_preference,1835dd8e8f1caef358e0301561a689c91804f628c9e51d3e6466b1bc5386d63d,dd18ae8d19f96a7804df35c4965c99bbf3ce758ddc835c8c55dcc8bfdb642c18,c5fad8271ca0640dbcc389c914a88a2743305d0c6f1d52cf73d1739ac65d3d1f,e9e5633e12de5a50f1198ada36323ee4630dae8f067e2e03f707822473e5acd1,a5c01f2e7fda60c20662ff70895fbe802c1ab0e89df108518fc4fddac257d73c,False,unknown_or_proxy_tokens,math,eval,seen_family,False,0.0,209,32,241,1,1,2,0.5541403329698369,0.5382982079754584,0.9714113482599707,0.8672199170124482,0.0,0.0,0.0,,2,2,2,0,0.024691358024691357,0.9753086419753086,321,32,0.875
5e269f66a46c0c02,conductor_preference,conductor_preference,1835dd8e8f1caef358e0301561a689c91804f628c9e51d3e6466b1bc5386d63d,dd18ae8d19f96a7804df35c4965c99bbf3ce758ddc835c8c55dcc8bfdb642c18,c5fad8271ca0640dbcc389c914a88a2743305d0c6f1d52cf73d1739ac65d3d1f,e9e5633e12de5a50f1198ada36323ee4630dae8f067e2e03f707822473e5acd1,a5c01f2e7fda60c20662ff70895fbe802c1ab0e89df108518fc4fddac257d73c,False,unknown_or_proxy_tokens,retrieval,eval,seen_family,False,0.0,227,39,266,1,1,2,0.6079852909897454,0.5979691660031676,0.9835257116660299,0.8533834586466166,0.0,0.0,0.0,,2,2,2,0,0.024691358024691357,0.9753086419753086,388,39,0.875
6f543ee6af6b8920,conductor_preference,conductor_preference,1835dd8e8f1caef358e0301561a689c91804f628c9e51d3e6466b1bc5386d63d,dd18ae8d19f96a7804df35c4965c99bbf3ce758ddc835c8c55dcc8bfdb642c18,c5fad8271ca0640dbcc389c914a88a2743305d0c6f1d52cf73d1739ac65d3d1f,e9e5633e12de5a50f1198ada36323ee4630dae8f067e2e03f707822473e5acd1,a5c01f2e7fda60c20662ff70895fbe802c1ab0e89df108518fc4fddac257d73c,False,unknown_or_proxy_tokens,code,eval,seen_family,True,1.0,207,32,239,1,1,2,0.589965040970128,0.5794399999431334,0.9821598903391167,0.8661087866108786,0.0,0.0,0.0,,2,2,2,0,0.024691358024691357,0.9753086419753086,331,32,0.875
54dc4983ab578f2c,conductor_preference,conductor_preference,1835dd8e8f1caef358e0301561a689c91804f628c9e51d3e6466b1bc5386d63d,dd18ae8d19f96a7804df35c4965c99bbf3ce758ddc835c8c55dcc8bfdb642c18,c5fad8271ca0640dbcc389c914a88a2743305d0c6f1d52cf73d1739ac65d3d1f,e9e5633e12de5a50f1198ada36323ee4630dae8f067e2e03f707822473e5acd1,a5c01f2e7fda60c20662ff70895fbe802c1ab0e89df108518fc4fddac257d73c,False,unknown_or_proxy_tokens,code,eval,seen_family,True,1.0,210,32,242,1,1,2,0.5353885000222363,0.5252753750537522,0.981110679500841,0.8677685950413223,0.0,0.0,0.0,,2,2,2,0,0.024691358024691357,0.9753086419753086,324,32,0.875
36d78af98d1b12b3,conductor_preference,conductor_preference,1835dd8e8f1caef358e0301561a689c91804f628c9e51d3e6466b1bc5386d63d,dd18ae8d19f96a7804df35c4965c99bbf3ce758ddc835c8c55dcc8bfdb642c18,c5fad8271ca0640dbcc389c914a88a2743305d0c6f1d52cf73d1739ac65d3d1f,e9e5633e12de5a50f1198ada36323ee4630dae8f067e2e03f707822473e5acd1,a5c01f2e7fda60c20662ff70895fbe802c1ab0e89df108518fc4fddac257d73c,False,unknown_or_proxy_tokens,composed_retrieval_math,eval,unseen_composition,False,0.0,227,44,271,1,1,2,0.6383095000055619,0.628847750951536,0.9851768631769644,0.8376383763837638,0.0,0.0,0.0,,2,2,2,0,0.024691358024691357,0.9753086419753086,429,44,0.875
