policy,category,split,generalization,task_count,success_rate,mean_grader_score,mean_controller_tokens,mean_downstream_tokens,mean_total_tokens,mean_agent_calls,mean_rounds,mean_routing_calls,mean_wall_clock_seconds,mean_controller_seconds,mean_controller_overhead_fraction,mean_controller_token_fraction,mean_controller_cost_fraction,mean_controller_cost_usd,mean_downstream_cost_usd,mean_cost_usd,mean_communication_edges,mean_unique_communication_edges,mean_communication_density,mean_communication_sparsity,mean_physical_controller_agent_messages,mean_logical_inter_agent_edges,mean_communication_message_bytes,mean_communication_estimated_tokens,mean_activation_sparsity,p50_wall_clock_seconds,p95_wall_clock_seconds,p50_controller_seconds,p95_controller_seconds,p50_cost_usd,p95_cost_usd
all_agent,code,eval,seen_family,16,1.0,1.0,0.0,268.0,268.0,8.0,1.0,2.0,0.010684765620680992,5.644019620376639e-05,0.005851067798096612,0.0,,0.0,0.0,0.0,16.0,16.0,0.19753086419753085,0.8024691358024691,16.0,0.0,2724.5,268.0,0.0,0.009055770991835743,0.016061229252954945,5.481246626004577e-05,6.611552089452744e-05,0.0,0.0
all_agent,composed_math_string,eval,unseen_composition,8,0.0,0.0,0.0,298.0,298.0,8.0,1.0,2.0,0.012355140497675166,5.481787957251072e-05,0.005328263855755343,0.0,,0.0,0.0,0.0,16.0,16.0,0.19753086419753085,0.8024691358024691,16.0,0.0,2959.0,298.0,0.0,0.00912343748495914,0.026001899980474252,5.1499984692782164e-05,6.35978183709085e-05,0.0,0.0
all_agent,composed_retrieval_math,eval,unseen_composition,8,0.0,0.0,0.0,341.0,341.0,8.0,1.0,2.0,0.009155775886029005,5.728124233428389e-05,0.006251139218039247,0.0,,0.0,0.0,0.0,16.0,16.0,0.19753086419753085,0.8024691358024691,16.0,0.0,3403.0,341.0,0.0,0.008922229026211426,0.009920368765597232,5.629149382002652e-05,6.42963103018701e-05,0.0,0.0
all_agent,math,eval,seen_family,8,1.0,1.0,0.0,242.0,242.0,8.0,1.0,2.0,0.009424437761481386,6.430199573514983e-05,0.006674703402632998,0.0,,0.0,0.0,0.0,16.0,16.0,0.19753086419753085,0.8024691358024691,16.0,0.0,2518.0,242.0,0.0,0.009209250536514446,0.010790277298656292,5.47289673704654e-05,0.00010595055355224755,0.0,0.0
all_agent,retrieval,eval,seen_family,8,1.0,1.0,0.0,301.0,301.0,8.0,1.0,2.0,0.009476312494371086,5.678124580299482e-05,0.005978845470460232,0.0,,0.0,0.0,0.0,16.0,16.0,0.19753086419753085,0.8024691358024691,16.0,0.0,3087.0,301.0,0.0,0.009299395984271541,0.010672720498405397,5.512448842637241e-05,6.692105380352586e-05,0.0,0.0
base_moe,code,eval,seen_family,16,1.0,1.0,337.0625,383.625,720.6875,4.125,3.0,3.0,3.458855234181101,3.4345419763085374,0.9921649306987768,0.477591054237378,,0.0,0.0,0.0,13.125,9.125,0.11265432098765432,0.8873456790123457,8.25,4.875,4388.125,383.625,0.828125,2.8895486459950916,6.25471777076018,2.8627536245039664,6.221753396210261,0.0,0.0
base_moe,composed_math_string,eval,unseen_composition,8,0.0,0.0,348.375,299.5,647.875,3.25,3.0,3.0,2.7660536408802727,2.7465295053916634,0.9914352851549562,0.5423608530531877,,0.0,0.0,0.0,7.0,2.75,0.033950617283950615,0.9660493827160495,6.5,0.5,3650.0,299.5,0.8645833333333334,1.9651127294928301,6.1169699170975935,1.944136521051405,6.088752931321505,0.0,0.0
base_moe,composed_retrieval_math,eval,unseen_composition,8,0.375,0.375,355.0,604.375,959.375,5.0,3.0,3.0,3.3552031874860404,3.332022682247043,0.9921737547949948,0.3808930249541235,,0.0,0.0,0.0,16.5,10.0,0.12345679012345678,0.8765432098765432,10.0,6.5,6872.0,604.375,0.7916666666666667,2.798741250007879,5.9562958669819634,2.7716647915367503,5.9311324079026235,0.0,0.0
base_moe,math,eval,seen_family,8,1.0,1.0,336.25,242.0,578.25,3.0,3.0,3.0,1.9758753906353377,1.9588790672496543,0.9906251619103648,0.5814956583059924,,0.0,0.0,0.0,6.0,2.0,0.024691358024691357,0.9753086419753086,6.0,0.0,3034.75,242.0,0.875,1.7547059585049283,3.8438022291637015,1.7393450410163496,3.8183560435485546,0.0,0.0
base_moe,retrieval,eval,seen_family,8,0.0,0.0,355.0,312.25,667.25,3.25,3.0,3.0,2.902302421745844,2.8610101352605852,0.9827937892162278,0.5365471605843878,,0.0,0.0,0.0,7.0,2.75,0.033950617283950615,0.9660493827160495,6.5,0.5,3753.625,312.25,0.8645833333333334,2.328233812469989,6.669428695409439,2.248272478551371,6.640542563071355,0.0,0.0
conductor_preference,code,eval,seen_family,16,1.0,1.0,208.25,32.0,240.25,1.0,1.0,2.0,1.51083792443751,1.4994193618804275,0.98717692828944,0.8667500468337725,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,328.625,32.0,0.875,0.6768778540135827,5.545521916457801,0.6665027910203207,5.528108207741752,0.0,0.0
conductor_preference,composed_math_string,eval,unseen_composition,8,0.0,0.0,230.75,34.0,264.75,1.0,1.0,2.0,0.6759461613910389,0.6650359426203067,0.9836276716642893,0.8715752449305081,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,349.375,34.0,0.875,0.6027843750198372,0.8950279165583196,0.5932932080177125,0.8838762436294927,0.0,0.0
conductor_preference,composed_retrieval_math,eval,unseen_composition,8,0.0,0.0,272.0,40.0,312.0,1.0,1.0,2.0,1.3684222551164567,1.356434656358033,0.9881248269517566,0.8717896034518184,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,408.0,40.0,0.875,0.6987279790046159,3.557702422892907,0.688781167002162,3.5372844545083346,0.0,0.0
conductor_preference,math,eval,seen_family,8,1.0,1.0,206.5,27.0,233.5,1.0,1.0,2.0,0.7193246928800363,0.6922081144948606,0.964260996027134,0.8843667245000457,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,294.25,27.0,0.875,0.6483022080210503,1.0003503942047245,0.6387178544828203,0.9901651249325368,0.0,0.0
conductor_preference,retrieval,eval,seen_family,8,1.0,1.0,263.0,35.0,298.0,1.0,1.0,2.0,1.168909734362387,1.15902504674159,0.9885885651445394,0.8825490129837956,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,368.5,35.0,0.875,0.6948655624873936,2.586921264667762,0.6851684784342069,2.576082249981118,0.0,0.0
conductor_sft,code,eval,seen_family,16,1.0,1.0,208.25,32.0,240.25,1.0,1.0,2.0,0.8575315416310332,0.8472554348772974,0.9864681511008577,0.8667500468337725,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,328.625,32.0,0.875,0.62541031249566,1.7097433435119456,0.6155522294866387,1.6928951460286044,0.0,0.0
conductor_sft,composed_math_string,eval,unseen_composition,8,0.0,0.0,230.75,34.0,264.75,1.0,1.0,2.0,0.8202295105002122,0.8097960466548102,0.9855697776076242,0.8715752449305081,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,349.375,34.0,0.875,0.6369493335078005,1.5906671896867914,0.6271601045154966,1.5780473561928368,0.0,0.0
conductor_sft,composed_retrieval_math,eval,unseen_composition,8,0.0,0.0,272.0,40.0,312.0,1.0,1.0,2.0,1.1522437553867348,1.142019057253492,0.9873960323913485,0.8717896034518184,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,408.0,40.0,0.875,0.699688270513434,3.072513656684894,0.689115999994101,3.0604997108428487,0.0,0.0
conductor_sft,math,eval,seen_family,8,1.0,1.0,206.5,27.0,233.5,1.0,1.0,2.0,1.4089918385143392,1.3895187026209896,0.9858556775671452,0.8843667245000457,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,294.25,27.0,0.875,0.6899259165220428,3.2972613375110083,0.6805211864702869,3.2366448103362924,0.0,0.0
conductor_sft,retrieval,eval,seen_family,8,1.0,1.0,263.0,35.0,298.0,1.0,1.0,2.0,1.360062021005433,1.3481004170025699,0.9884021981914206,0.8825490129837956,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,368.5,35.0,0.875,0.816944833000889,3.701329285639802,0.8073129379772581,3.6810275644937045,0.0,0.0
