policy,category,split,generalization,task_count,success_rate,mean_grader_score,mean_controller_tokens,mean_downstream_tokens,mean_total_tokens,mean_agent_calls,mean_rounds,mean_routing_calls,mean_wall_clock_seconds,mean_controller_seconds,mean_controller_overhead_fraction,mean_controller_token_fraction,mean_controller_cost_fraction,mean_controller_cost_usd,mean_downstream_cost_usd,mean_cost_usd,mean_communication_edges,mean_unique_communication_edges,mean_communication_density,mean_communication_sparsity,mean_physical_controller_agent_messages,mean_logical_inter_agent_edges,mean_communication_message_bytes,mean_communication_estimated_tokens,mean_activation_sparsity,p50_wall_clock_seconds,p95_wall_clock_seconds,p50_controller_seconds,p95_controller_seconds,p50_cost_usd,p95_cost_usd
conductor_preference,code,eval,seen_family,16,1.0,1.0,209.0625,32.0,241.0625,1.0,1.0,2.0,2.9639506744933897,2.9413023205015634,0.9896167983395889,0.8672467822539698,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,328.625,32.0,0.875,2.1676012499665376,6.477625009982148,2.1446157290192787,6.437675322769792,0.0,0.0
conductor_preference,composed_math_string,eval,unseen_composition,8,0.0,0.0,220.375,39.0,259.375,1.0,1.0,2.0,2.3641423591179773,2.3434188024912146,0.9881433388860376,0.8496380308880309,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,375.375,39.0,0.875,1.8470996044925414,5.127335593177121,1.820263146481011,5.108842750068288,0.0,0.0
conductor_preference,composed_retrieval_math,eval,unseen_composition,8,0.0,0.0,227.0,44.0,271.0,1.0,1.0,2.0,3.1093577552455827,3.0842917500121985,0.9889563448372196,0.8376383763837638,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,428.0,44.0,0.875,3.106033062998904,5.613604214676887,3.075445271009812,5.589794605833593,0.0,0.0
conductor_preference,math,eval,seen_family,8,0.0,0.0,208.25,32.0,240.25,1.0,1.0,2.0,3.186230098872329,3.163735343616281,0.9877030277299964,0.8668049792531121,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,320.25,32.0,0.875,1.5366471455199644,8.802329193727926,1.5146652290131897,8.775770333549007,0.0,0.0
conductor_preference,retrieval,eval,seen_family,8,0.0,0.0,227.0,39.0,266.0,1.0,1.0,2.0,2.994827348877152,2.975389301740506,0.989546573507709,0.8533834586466166,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,388.5,39.0,0.875,1.436180749500636,9.70536740808165,1.4197436250105966,9.670111778489076,0.0,0.0
conductor_sft,code,eval,seen_family,16,1.0,1.0,209.0625,32.0,241.0625,1.0,1.0,2.0,3.874372518257587,3.8456752057536505,0.9889287253435747,0.8672467822539698,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,328.625,32.0,0.875,1.6433752500161063,13.26334985428548,1.625174958462594,13.179908708290895,0.0,0.0
conductor_sft,composed_math_string,eval,unseen_composition,8,0.0,0.0,220.375,39.0,259.375,1.0,1.0,2.0,2.5703310936296475,2.549268609371211,0.989840448692167,0.8496380308880309,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,375.375,39.0,0.875,1.9581751045188867,5.799755122591157,1.9396134579728823,5.769444210137587,0.0,0.0
conductor_sft,composed_retrieval_math,eval,unseen_composition,8,0.0,0.0,227.0,44.0,271.0,1.0,1.0,2.0,3.1270742241176777,3.1002686096253456,0.9894156610108115,0.8376383763837638,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,428.0,44.0,0.875,2.489442146004876,7.103668195818316,2.4641173960408196,7.0587466481258145,0.0,0.0
conductor_sft,math,eval,seen_family,8,0.0,0.0,208.25,32.0,240.25,1.0,1.0,2.0,3.6656205209947075,3.6332583596231416,0.9880609690942213,0.8668049792531121,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,320.25,32.0,0.875,2.9568586874811444,8.33734959825233,2.9002445839869324,8.298353008541742,0.0,0.0
conductor_sft,retrieval,eval,seen_family,8,0.0,0.0,227.0,39.0,266.0,1.0,1.0,2.0,4.943028541740205,4.918626864498947,0.9914025701167152,0.8533834586466166,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,388.5,39.0,0.875,3.1055802709888667,12.482057649974012,3.0794660414976534,12.451742145506431,0.0,0.0
