policy,template_family,generalization,task_count,success_rate,mean_grader_score,mean_controller_tokens,mean_downstream_tokens,mean_total_tokens,mean_agent_calls,mean_rounds,mean_routing_calls,mean_wall_clock_seconds,mean_controller_seconds,mean_controller_overhead_fraction,mean_controller_token_fraction,mean_controller_cost_fraction,mean_controller_cost_usd,mean_downstream_cost_usd,mean_cost_usd,mean_communication_edges,mean_unique_communication_edges,mean_communication_density,mean_communication_sparsity,mean_physical_controller_agent_messages,mean_logical_inter_agent_edges,mean_communication_message_bytes,mean_communication_estimated_tokens,mean_activation_sparsity,p50_wall_clock_seconds,p95_wall_clock_seconds,p50_controller_seconds,p95_controller_seconds,p50_cost_usd,p95_cost_usd
conductor_preference,addition_reverse_digits,unseen_composition,8,0.0,0.0,220.375,39.0,259.375,1.0,1.0,2.0,2.3641423591179773,2.3434188024912146,0.9881433388860376,0.8496380308880309,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,375.375,39.0,0.875,1.8470996044925414,5.127335593177121,1.820263146481011,5.108842750068288,0.0,0.0
conductor_preference,arithmetic_addition,seen_family,8,0.0,0.0,208.25,32.0,240.25,1.0,1.0,2.0,3.186230098872329,3.163735343616281,0.9877030277299964,0.8668049792531121,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,320.25,32.0,0.875,1.5366471455199644,8.802329193727926,1.5146652290131897,8.775770333549007,0.0,0.0
conductor_preference,count_vowels,seen_family,8,1.0,1.0,210.625,32.0,242.625,1.0,1.0,2.0,3.329099020869762,3.3059337970044,0.9913169241054998,0.8681075813051305,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,325.25,32.0,0.875,2.995511187502416,6.504121493845013,2.9764458550489508,6.467061052273492,0.0,0.0
conductor_preference,inline_lookup,seen_family,8,0.0,0.0,227.0,39.0,266.0,1.0,1.0,2.0,2.994827348877152,2.975389301740506,0.989546573507709,0.8533834586466166,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,388.5,39.0,0.875,1.436180749500636,9.70536740808165,1.4197436250105966,9.670111778489076,0.0,0.0
conductor_preference,lookup_multiply,unseen_composition,8,0.0,0.0,227.0,44.0,271.0,1.0,1.0,2.0,3.1093577552455827,3.0842917500121985,0.9889563448372196,0.8376383763837638,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,428.0,44.0,0.875,3.106033062998904,5.613604214676887,3.075445271009812,5.589794605833593,0.0,0.0
conductor_preference,reverse_string,seen_family,8,1.0,1.0,207.5,32.0,239.5,1.0,1.0,2.0,2.598802328117017,2.576670843998727,0.9879166725736781,0.8663859832028091,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,332.0,32.0,0.875,1.5124584170116577,6.109277564144577,1.48759762494592,6.079129006539006,0.0,0.0
conductor_sft,addition_reverse_digits,unseen_composition,8,0.0,0.0,220.375,39.0,259.375,1.0,1.0,2.0,2.5703310936296475,2.549268609371211,0.989840448692167,0.8496380308880309,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,375.375,39.0,0.875,1.9581751045188867,5.799755122591157,1.9396134579728823,5.769444210137587,0.0,0.0
conductor_sft,arithmetic_addition,seen_family,8,0.0,0.0,208.25,32.0,240.25,1.0,1.0,2.0,3.6656205209947075,3.6332583596231416,0.9880609690942213,0.8668049792531121,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,320.25,32.0,0.875,2.9568586874811444,8.33734959825233,2.9002445839869324,8.298353008541742,0.0,0.0
conductor_sft,count_vowels,seen_family,8,1.0,1.0,210.625,32.0,242.625,1.0,1.0,2.0,3.884692599000118,3.8539786095061572,0.9887141684429918,0.8681075813051305,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,325.25,32.0,0.875,2.114910020987736,11.151013962962312,2.092411811987404,11.085298133397007,0.0,0.0
conductor_sft,inline_lookup,seen_family,8,0.0,0.0,227.0,39.0,266.0,1.0,1.0,2.0,4.943028541740205,4.918626864498947,0.9914025701167152,0.8533834586466166,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,388.5,39.0,0.875,3.1055802709888667,12.482057649974012,3.0794660414976534,12.451742145506431,0.0,0.0
conductor_sft,lookup_multiply,unseen_composition,8,0.0,0.0,227.0,44.0,271.0,1.0,1.0,2.0,3.1270742241176777,3.1002686096253456,0.9894156610108115,0.8376383763837638,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,428.0,44.0,0.875,2.489442146004876,7.103668195818316,2.4641173960408196,7.0587466481258145,0.0,0.0
conductor_sft,reverse_string,seen_family,8,1.0,1.0,207.5,32.0,239.5,1.0,1.0,2.0,3.8640524375150562,3.837371802001144,0.9891432822441577,0.8663859832028091,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,332.0,32.0,0.875,1.6433752500161063,11.788143422832944,1.625174958462594,11.725986791573812,0.0,0.0
