phase,concurrency,index,state_sha256,requested_k,dispatched,http_status,controller_tokens,controller_tokens_known,estimated_cost_usd,controller_cost_known,status,request_id,decision,queue_seconds,batch_inference_seconds,latency_seconds,batch_size,token_accounting,decision_source,effective_k,checkpoint_stage,client_latency_seconds
load,1,0,e310ecc64c0dce6e2309ef6a84fa676181bc332a82e0637b66ad462fb6c27163,2,True,200,102,True,0.0,True,measured,bc3db894-9d25-45dc-ad7f-0ffdf3bc300b,"{'selected_agents': ['coder'], 'execution_mode': 'parallel', 'confidence': 1.0, 'terminate': False}",0.005717624968383461,0.2524074579705484,0.2582549159997143,1,HF tokenizer input tokens; classifier emits no language tokens,model,2,preference,0.3033893749816343
load,1,1,0c660fe4ba34d40dbfe82bf183955495a23b77272657e88646ee42d7ed5739d0,2,True,200,102,True,0.0,True,measured,3e24d625-87d0-4bb2-a9e4-9a38662b73bc,"{'selected_agents': ['coder'], 'execution_mode': 'parallel', 'confidence': 1.0, 'terminate': False}",0.005773750017397106,0.25638537504710257,0.26227937504881993,1,HF tokenizer input tokens; classifier emits no language tokens,model,2,preference,0.26397508301306516
load,1,2,dc07b546f64239a92baf724e4a84e79c8a8a4a0ff5b099074b7f40e6c51b7ad2,2,True,200,102,True,0.0,True,measured,3b4ccfa2-bf33-45af-b795-cd5d8fd93f2e,"{'selected_agents': ['coder'], 'execution_mode': 'parallel', 'confidence': 1.0, 'terminate': False}",0.00571825000224635,0.2672520000487566,0.2730882500181906,1,HF tokenizer input tokens; classifier emits no language tokens,model,2,preference,0.27483537496300414
load,1,3,62df330d8ded167cb043dd239cbff4a4d4eda2b6926ef0d202df78b249c938bf,2,True,200,102,True,0.0,True,measured,69f1c77e-20be-42d1-82f3-24c3a3d8f8d3,"{'selected_agents': ['coder'], 'execution_mode': 'parallel', 'confidence': 1.0, 'terminate': False}",0.005563375016208738,0.2639477090560831,0.2696427089977078,1,HF tokenizer input tokens; classifier emits no language tokens,model,2,preference,0.27141229197150096
load,1,4,f5d62cec7502c34a485901021936a44c330e2843f9a92b34b8d868047e138393,2,True,200,102,True,0.0,True,measured,16cafa7f-1c94-465d-b618-80dad815d54f,"{'selected_agents': ['coder'], 'execution_mode': 'parallel', 'confidence': 1.0, 'terminate': False}",0.005731624958571047,0.2597257080487907,0.2655794589663856,1,HF tokenizer input tokens; classifier emits no language tokens,model,2,preference,0.2676020840299316
load,1,5,ed9348c8e5e89cb77f324079733637302f2aec915c7db5b9134896a260098940,2,True,200,102,True,0.0,True,measured,e4be562c-c44e-43b1-baf8-c3aed395b1ec,"{'selected_agents': ['coder'], 'execution_mode': 'parallel', 'confidence': 1.0, 'terminate': False}",0.005720874993130565,0.2648949580034241,0.2707424170221202,1,HF tokenizer input tokens; classifier emits no language tokens,model,2,preference,0.27286720799747854
load,1,6,486dff0606de75291d612e358a251d5f3e8bed406ecec9d75d3d476791395c60,2,True,200,102,True,0.0,True,measured,5af1c291-5457-4a23-bc54-040e64fde5c2,"{'selected_agents': ['coder'], 'execution_mode': 'parallel', 'confidence': 1.0, 'terminate': False}",0.005779833009000868,0.4654854170512408,0.47149391600396484,1,HF tokenizer input tokens; classifier emits no language tokens,model,2,preference,0.4743719999678433
load,1,7,6e8f3ebe6c97af1f0f82d419f01685732b44fa795fc6eb1342060b74029dd2c4,2,True,200,102,True,0.0,True,measured,33450767-e26e-4172-a926-1b2598232baa,"{'selected_agents': ['coder'], 'execution_mode': 'parallel', 'confidence': 1.0, 'terminate': False}",0.0057845000410452485,0.3215432920260355,0.32746350002707914,1,HF tokenizer input tokens; classifier emits no language tokens,model,2,preference,0.3296433750074357
load,1,8,b60eac81d4ede4c34d201ea61a6b6244186a3639f3f785f04a15dc17e8341f53,2,True,200,102,True,0.0,True,measured,49513c86-d383-40f2-8599-ab313c01cf75,"{'selected_agents': ['coder'], 'execution_mode': 'parallel', 'confidence': 1.0, 'terminate': False}",0.005434042017441243,0.2688950829906389,0.274457708990667,1,HF tokenizer input tokens; classifier emits no language tokens,model,2,preference,0.2762692089891061
load,1,9,d57bfcc5d1cc402dd1f2cbf3db08b4ad4eb915ffccb1a38f329c56c5191e5b6e,2,True,200,102,True,0.0,True,measured,5629b61f-f6f1-425e-9710-d4bb45223385,"{'selected_agents': ['coder'], 'execution_mode': 'parallel', 'confidence': 1.0, 'terminate': False}",0.005740959022659808,0.26218454202171415,0.26806095900246873,1,HF tokenizer input tokens; classifier emits no language tokens,model,2,preference,0.26970345800509676
