ticket_id,policy,task_success,diagnostic_contract_passed,routing_http_failures,agent_activations,controller_tokens,wall_seconds
support-fixture-01,support_rule_based,True,True,0,2,0,0.02388812502613291
support-fixture-02,support_rule_based,True,True,0,2,0,0.021072667033877224
support-fixture-03,support_rule_based,True,True,0,2,0,0.052759083977434784
support-fixture-04,support_rule_based,True,True,0,2,0,0.021454291010741144
support-fixture-05,support_rule_based,True,True,0,2,0,0.021352000010665506
support-fixture-06,support_rule_based,True,True,0,2,0,0.020893249951768667
support-fixture-07,support_rule_based,True,True,0,2,0,0.022879500000271946
support-fixture-08,support_rule_based,True,True,0,2,0,0.022561167017556727
support-fixture-09,support_rule_based,True,True,0,2,0,0.021508916979655623
support-fixture-10,support_rule_based,True,True,0,2,0,0.02087991702137515
support-fixture-11,support_rule_based,True,True,0,2,0,0.020792624971363693
support-fixture-12,support_rule_based,True,True,0,2,0,0.020901333016809076
support-fixture-01,support_http_model,False,False,0,1,230,0.6264291250263341
support-fixture-02,support_http_model,False,False,0,1,230,0.6305747919832356
support-fixture-03,support_http_model,False,False,0,1,230,0.6636147499666549
support-fixture-04,support_http_model,False,False,0,1,230,0.9171674590324983
support-fixture-05,support_http_model,False,False,0,1,230,1.1165803329786286
support-fixture-06,support_http_model,False,False,0,1,230,0.7375304580200464
support-fixture-07,support_http_model,False,False,0,1,230,1.1199476670008153
support-fixture-08,support_http_model,False,False,0,1,230,0.5706952080363408
support-fixture-09,support_http_model,False,False,0,1,230,0.575832917005755
support-fixture-10,support_http_model,False,False,0,1,230,0.5940640000044368
support-fixture-11,support_http_model,False,False,0,1,230,0.5644987499690615
support-fixture-12,support_http_model,False,False,0,1,230,0.5645330420229584
