phase,concurrency,index,state_sha256,requested_k,dispatched,http_status,controller_tokens,controller_tokens_known,estimated_cost_usd,controller_cost_known,status,request_id,decision,queue_seconds,batch_inference_seconds,latency_seconds,batch_size,token_accounting,decision_source,effective_k,checkpoint_stage,client_latency_seconds
load,1,0,e310ecc64c0dce6e2309ef6a84fa676181bc332a82e0637b66ad462fb6c27163,2,True,200,270,True,0.0,True,measured,3b8e2d81-8a0a-4690-8f3b-a681920ad2b7,"{'selected_agents': ['coder', 'critic'], 'execution_mode': 'parallel', 'confidence': 0.5525627732276917, 'terminate': False}",0.005761707958299667,0.0013297080295160413,0.007162333000451326,1,whole-state lexical token proxy; no language-model tokenization,model,2,sft,0.020742041000630707
load,1,1,0c660fe4ba34d40dbfe82bf183955495a23b77272657e88646ee42d7ed5739d0,2,True,200,313,True,0.0,True,measured,d9a56fae-9f3e-4829-b02c-3eed5d0f0fa7,"{'selected_agents': ['coder', 'critic'], 'execution_mode': 'parallel', 'confidence': 0.5685461163520813, 'terminate': False}",0.005761707958299667,0.0014659999869763851,0.007294082955922931,1,whole-state lexical token proxy; no language-model tokenization,model,2,sft,0.008546666009351611
load,1,2,dc07b546f64239a92baf724e4a84e79c8a8a4a0ff5b099074b7f40e6c51b7ad2,2,True,200,284,True,0.0,True,measured,57371876-32b8-40ad-b638-001a9eaf6e3d,"{'selected_agents': ['retriever'], 'execution_mode': 'parallel', 'confidence': 0.30364173650741577, 'terminate': False}",0.005753791017923504,0.0013650839682668447,0.007178875035606325,1,whole-state lexical token proxy; no language-model tokenization,model,2,sft,0.008374999975785613
load,1,3,62df330d8ded167cb043dd239cbff4a4d4eda2b6926ef0d202df78b249c938bf,2,True,200,324,True,0.0,True,measured,4412190d-61f9-44f8-a665-a71885d4f857,"{'selected_agents': ['coder', 'critic'], 'execution_mode': 'parallel', 'confidence': 0.33134156465530396, 'terminate': False}",0.0057474589557386935,0.0015259580104611814,0.007331834000069648,1,whole-state lexical token proxy; no language-model tokenization,model,2,sft,0.00851962500018999
load,1,4,f5d62cec7502c34a485901021936a44c330e2843f9a92b34b8d868047e138393,2,True,200,310,True,0.0,True,measured,b976f796-14d6-4af4-9e1c-7b9d0acd0d19,"{'selected_agents': ['coder', 'critic'], 'execution_mode': 'parallel', 'confidence': 0.5003148913383484, 'terminate': False}",0.00575750001007691,0.001520959020126611,0.007336291018873453,1,whole-state lexical token proxy; no language-model tokenization,model,2,sft,0.008674540964420885
load,1,5,ed9348c8e5e89cb77f324079733637302f2aec915c7db5b9134896a260098940,2,True,200,304,True,0.0,True,measured,d7a9d8a8-aba4-4a66-8666-cbd38f8c1301,"{'selected_agents': ['coder', 'critic'], 'execution_mode': 'parallel', 'confidence': 0.5518710613250732, 'terminate': False}",0.005753084027674049,0.0015625000232830644,0.007370542036369443,1,whole-state lexical token proxy; no language-model tokenization,model,2,sft,0.008582750044297427
load,1,6,486dff0606de75291d612e358a251d5f3e8bed406ecec9d75d3d476791395c60,2,True,200,314,True,0.0,True,measured,2c961151-c899-43a4-b786-9b61f55e4243,"{'selected_agents': ['coder', 'critic'], 'execution_mode': 'parallel', 'confidence': 0.4566502273082733, 'terminate': False}",0.0057399169891141355,0.0016055420273914933,0.007400833012070507,1,whole-state lexical token proxy; no language-model tokenization,model,2,sft,0.008519708004314452
load,1,7,6e8f3ebe6c97af1f0f82d419f01685732b44fa795fc6eb1342060b74029dd2c4,2,True,200,236,True,0.0,True,measured,afc701e9-01c7-4d95-b069-bda5f5ca06e7,"{'selected_agents': ['coder', 'critic'], 'execution_mode': 'parallel', 'confidence': 0.3659858703613281, 'terminate': False}",0.005749874981120229,0.001327292004134506,0.007138709013815969,1,whole-state lexical token proxy; no language-model tokenization,model,2,sft,0.008386458968743682
load,1,8,b60eac81d4ede4c34d201ea61a6b6244186a3639f3f785f04a15dc17e8341f53,2,True,200,238,True,0.0,True,measured,87679d21-86ff-4500-8ab2-1ddb197db573,"{'selected_agents': ['coder', 'critic'], 'execution_mode': 'parallel', 'confidence': 0.28549039363861084, 'terminate': False}",0.0057569159544073045,0.0013512499863281846,0.007169582997448742,1,whole-state lexical token proxy; no language-model tokenization,model,2,sft,0.008406457956880331
load,1,9,d57bfcc5d1cc402dd1f2cbf3db08b4ad4eb915ffccb1a38f329c56c5191e5b6e,2,True,200,241,True,0.0,True,measured,2658efb0-fde2-47fd-9b4d-340bafc31995,"{'selected_agents': ['coder', 'critic'], 'execution_mode': 'parallel', 'confidence': 0.5549201965332031, 'terminate': False}",0.005761332984548062,0.0015216250321827829,0.007357041002251208,1,whole-state lexical token proxy; no language-model tokenization,model,2,sft,0.008484375022817403
load,1,10,bf6bfb003ad7c9b2a2ee3bf893088cc4871b88fd52e20a35ac86bc11ff424a6e,2,True,200,243,True,0.0,True,measured,84f01530-37cd-471f-858b-4a68cf7db08b,"{'selected_agents': ['coder', 'critic'], 'execution_mode': 'parallel', 'confidence': 0.7446025609970093, 'terminate': False}",0.005746000038925558,0.0015259170322678983,0.007339583011344075,1,whole-state lexical token proxy; no language-model tokenization,model,2,sft,0.008562165952753276
load,1,11,04287a593b1ee624dfa2fb2b73414cda1196714dd462a56fc9185b5d4742a15b,2,True,200,351,True,0.0,True,measured,cb6ecd6a-b13c-41e8-b268-4b66548d240b,"{'selected_agents': ['coder', 'critic'], 'execution_mode': 'parallel', 'confidence': 0.4880508780479431, 'terminate': False}",0.0057485830038785934,0.002036666963249445,0.00785566697595641,1,whole-state lexical token proxy; no language-model tokenization,model,2,sft,0.009226249996572733
load,1,12,e310ecc64c0dce6e2309ef6a84fa676181bc332a82e0637b66ad462fb6c27163,2,True,200,270,True,0.0,True,measured,ea18e310-8d72-4e7f-a949-e4556394c558,"{'selected_agents': ['coder', 'critic'], 'execution_mode': 'parallel', 'confidence': 0.5525627732276917, 'terminate': False}",0.005767665978055447,0.0017442090320400894,0.007583250000607222,1,whole-state lexical token proxy; no language-model tokenization,model,2,sft,0.008852790982928127
load,1,13,0c660fe4ba34d40dbfe82bf183955495a23b77272657e88646ee42d7ed5739d0,2,True,200,313,True,0.0,True,measured,3f1a38df-2ebf-4a4f-84b2-2566d1a4f62d,"{'selected_agents': ['coder', 'critic'], 'execution_mode': 'parallel', 'confidence': 0.5685461163520813, 'terminate': False}",0.005753750039730221,0.0019460420007817447,0.007767208036966622,1,whole-state lexical token proxy; no language-model tokenization,model,2,sft,0.009090499952435493
load,1,14,dc07b546f64239a92baf724e4a84e79c8a8a4a0ff5b099074b7f40e6c51b7ad2,2,True,200,284,True,0.0,True,measured,397b54e5-300a-4490-877f-8a33797ed17b,"{'selected_agents': ['retriever'], 'execution_mode': 'parallel', 'confidence': 0.30364173650741577, 'terminate': False}",0.005748208030126989,0.00180508301127702,0.007622667006216943,1,whole-state lexical token proxy; no language-model tokenization,model,2,sft,0.008830458973534405
load,1,15,62df330d8ded167cb043dd239cbff4a4d4eda2b6926ef0d202df78b249c938bf,2,True,200,324,True,0.0,True,measured,ef9019d6-421b-427f-a6d8-9c1267075f59,"{'selected_agents': ['coder', 'critic'], 'execution_mode': 'parallel', 'confidence': 0.33134156465530396, 'terminate': False}",0.005703041970264167,0.002092165988869965,0.007869541994296014,1,whole-state lexical token proxy; no language-model tokenization,model,2,sft,0.009414666972588748
load,1,16,f5d62cec7502c34a485901021936a44c330e2843f9a92b34b8d868047e138393,2,True,200,310,True,0.0,True,measured,e6399fa2-ec90-48d0-b893-ce8ef6b6e47f,"{'selected_agents': ['coder', 'critic'], 'execution_mode': 'parallel', 'confidence': 0.5003148913383484, 'terminate': False}",0.005719957989640534,0.0019985840190201998,0.007800457999110222,1,whole-state lexical token proxy; no language-model tokenization,model,2,sft,0.009376417030580342
load,1,17,ed9348c8e5e89cb77f324079733637302f2aec915c7db5b9134896a260098940,2,True,200,304,True,0.0,True,measured,a7189c2c-8613-41a6-9351-a5f2623704d9,"{'selected_agents': ['coder', 'critic'], 'execution_mode': 'parallel', 'confidence': 0.5518710613250732, 'terminate': False}",0.005446124996524304,0.0019463750068098307,0.00746312498813495,1,whole-state lexical token proxy; no language-model tokenization,model,2,sft,0.008846041979268193
load,1,18,486dff0606de75291d612e358a251d5f3e8bed406ecec9d75d3d476791395c60,2,True,200,314,True,0.0,True,measured,fad5a10a-ec08-4707-8aa2-2cf8e9d27a56,"{'selected_agents': ['coder', 'critic'], 'execution_mode': 'parallel', 'confidence': 0.4566502273082733, 'terminate': False}",0.005744917027186602,0.0019632920157164335,0.007788833987433463,1,whole-state lexical token proxy; no language-model tokenization,model,2,sft,0.009033708018250763
load,1,19,6e8f3ebe6c97af1f0f82d419f01685732b44fa795fc6eb1342060b74029dd2c4,2,True,200,236,True,0.0,True,measured,ffa494fe-64d4-4875-a491-38bd62b75b09,"{'selected_agents': ['coder', 'critic'], 'execution_mode': 'parallel', 'confidence': 0.3659858703613281, 'terminate': False}",0.005745374946855009,0.0016292910440824926,0.007444749993737787,1,whole-state lexical token proxy; no language-model tokenization,model,2,sft,0.008847750024870038
load,1,20,b60eac81d4ede4c34d201ea61a6b6244186a3639f3f785f04a15dc17e8341f53,2,True,200,238,True,0.0,True,measured,0614ced6-0f6d-4fd1-b20b-b580b971a6f8,"{'selected_agents': ['coder', 'critic'], 'execution_mode': 'parallel', 'confidence': 0.28549039363861084, 'terminate': False}",0.005748874973505735,0.0016208330052904785,0.007448624994140118,1,whole-state lexical token proxy; no language-model tokenization,model,2,sft,0.00873758300440386
load,1,21,d57bfcc5d1cc402dd1f2cbf3db08b4ad4eb915ffccb1a38f329c56c5191e5b6e,2,True,200,241,True,0.0,True,measured,ac153f17-4103-4699-ad57-1b1346ab8216,"{'selected_agents': ['coder', 'critic'], 'execution_mode': 'parallel', 'confidence': 0.5549201965332031, 'terminate': False}",0.005754125013481826,0.0017137909890152514,0.0075436250190250576,1,whole-state lexical token proxy; no language-model tokenization,model,2,sft,0.008853124978486449
load,1,22,bf6bfb003ad7c9b2a2ee3bf893088cc4871b88fd52e20a35ac86bc11ff424a6e,2,True,200,243,True,0.0,True,measured,62326208-9fb3-4206-b6d0-8f791279d8c4,"{'selected_agents': ['coder', 'critic'], 'execution_mode': 'parallel', 'confidence': 0.7446025609970093, 'terminate': False}",0.005755375022999942,0.001706208975519985,0.007535667042247951,1,whole-state lexical token proxy; no language-model tokenization,model,2,sft,0.008949875016696751
load,1,23,04287a593b1ee624dfa2fb2b73414cda1196714dd462a56fc9185b5d4742a15b,2,True,200,351,True,0.0,True,measured,1954e5c5-b391-4a56-9d8b-1113cd7d588a,"{'selected_agents': ['coder', 'critic'], 'execution_mode': 'parallel', 'confidence': 0.4880508780479431, 'terminate': False}",0.005754249985329807,0.0022615420166403055,0.008079999999608845,1,whole-state lexical token proxy; no language-model tokenization,model,2,sft,0.00944129197159782
load,4,0,e310ecc64c0dce6e2309ef6a84fa676181bc332a82e0637b66ad462fb6c27163,2,True,200,270,True,0.0,True,measured,80f79338-34c2-45bc-bded-e390bce1fba8,"{'selected_agents': ['coder', 'critic'], 'execution_mode': 'parallel', 'confidence': 0.5525628924369812, 'terminate': False}",0.0007243749569170177,0.006172583031002432,0.006976999982725829,4,whole-state lexical token proxy; no language-model tokenization,model,2,sft,0.011686584039125592
load,4,1,0c660fe4ba34d40dbfe82bf183955495a23b77272657e88646ee42d7ed5739d0,2,True,200,313,True,0.0,True,measured,2b9e4fbf-0dbd-4a83-9627-ab75a3d10c1e,"{'selected_agents': ['coder', 'critic'], 'execution_mode': 'parallel', 'confidence': 0.5685458779335022, 'terminate': False}",0.0005089999758638442,0.006172583031002432,0.006761625001672655,4,whole-state lexical token proxy; no language-model tokenization,model,2,sft,0.01185162499314174
load,4,2,dc07b546f64239a92baf724e4a84e79c8a8a4a0ff5b099074b7f40e6c51b7ad2,2,True,200,284,True,0.0,True,measured,fdc20148-8bb0-4b4a-9bdc-7fa53c933f42,"{'selected_agents': ['retriever'], 'execution_mode': 'parallel', 'confidence': 0.30364173650741577, 'terminate': False}",0.00023008399875834584,0.006172583031002432,0.006482709024567157,4,whole-state lexical token proxy; no language-model tokenization,model,2,sft,0.011761375004425645
load,4,3,62df330d8ded167cb043dd239cbff4a4d4eda2b6926ef0d202df78b249c938bf,2,True,200,324,True,0.0,True,measured,87a66755-e534-4c80-bb97-16446b539fc3,"{'selected_agents': ['coder', 'critic'], 'execution_mode': 'parallel', 'confidence': 0.3313412666320801, 'terminate': False}",4.1499966755509377e-05,0.006172583031002432,0.0062941249925643206,4,whole-state lexical token proxy; no language-model tokenization,model,2,sft,0.012153957970440388
load,4,4,f5d62cec7502c34a485901021936a44c330e2843f9a92b34b8d868047e138393,2,True,200,310,True,0.0,True,measured,8fac0351-1371-4fb0-8814-1ff0a42044c2,"{'selected_agents': ['coder', 'critic'], 'execution_mode': 'parallel', 'confidence': 0.5003144145011902, 'terminate': False}",0.0009975419961847365,0.005263083963654935,0.00632591696921736,4,whole-state lexical token proxy; no language-model tokenization,model,2,sft,0.008930624986533076
